# 1. len_slice  2. n_select_slc  3. beams  4. n_optimization_restarts  5. best slices  6. best points  7. loss (variance)  8. time spent (min)
4  2  8  5  [249, 235]  [996, 997, 998, 999, 940, 941, 942, 943]  9.546301e-03 275.51
0  0  0  0  [113, 105]  [452, 453, 454, 455, 420, 421, 422, 423]  1.030908e-02 0.00
0  0  0  0  [269, 184]  [1076, 1077, 1078, 1079, 736, 737, 738, 739]  1.145736e-02 0.00
0  0  0  0  [106, 262]  [424, 425, 426, 427, 1048, 1049, 1050, 1051]  1.198148e-02 0.00
0  0  0  0  [252, 104]  [1008, 1009, 1010, 1011, 416, 417, 418, 419]  1.210954e-02 0.00
0  0  0  0  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.227265e-02 0.00
0  0  0  0  [162, 104]  [648, 649, 650, 651, 416, 417, 418, 419]  1.229769e-02 0.00
0  0  0  0  [67, 107]  [268, 269, 270, 271, 428, 429, 430, 431]  1.427360e-02 0.00
4  2  8  10  [249, 235]  [996, 997, 998, 999, 940, 941, 942, 943]  9.546300e-03 358.72
0  0  0  0  [82, 53]  [328, 329, 330, 331, 212, 213, 214, 215]  9.653095e-03 0.00
0  0  0  0  [257, 36]  [1028, 1029, 1030, 1031, 144, 145, 146, 147]  1.117284e-02 0.00
0  0  0  0  [269, 184]  [1076, 1077, 1078, 1079, 736, 737, 738, 739]  1.141343e-02 0.00
0  0  0  0  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.221809e-02 0.00
0  0  0  0  [106, 193]  [424, 425, 426, 427, 772, 773, 774, 775]  1.311998e-02 0.00
0  0  0  0  [237, 184]  [948, 949, 950, 951, 736, 737, 738, 739]  1.314090e-02 0.00
0  0  0  0  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333871e-02 0.00
4  2  8  20  [249, 235]  [996, 997, 998, 999, 940, 941, 942, 943]  9.544314e-03 511.00
0  0  0  0  [257, 36]  [1028, 1029, 1030, 1031, 144, 145, 146, 147]  1.117284e-02 0.00
0  0  0  0  [269, 40]  [1076, 1077, 1078, 1079, 160, 161, 162, 163]  1.152181e-02 0.00
0  0  0  0  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.211163e-02 0.00
0  0  0  0  [82, 204]  [328, 329, 330, 331, 816, 817, 818, 819]  1.227049e-02 0.00
0  0  0  0  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333881e-02 0.00
0  0  0  0  [237, 151]  [948, 949, 950, 951, 604, 605, 606, 607]  1.408723e-02 0.00
0  0  0  0  [106, 134]  [424, 425, 426, 427, 536, 537, 538, 539]  1.492242e-02 0.00
4  2  8  30  [249, 235]  [996, 997, 998, 999, 940, 941, 942, 943]  9.540896e-03 1101.71
0  0  0  0  [257, 36]  [1028, 1029, 1030, 1031, 144, 145, 146, 147]  1.117286e-02 0.00
0  0  0  0  [269, 40]  [1076, 1077, 1078, 1079, 160, 161, 162, 163]  1.154112e-02 0.00
0  0  0  0  [16, 23]  [64, 65, 66, 67, 92, 93, 94, 95]  1.211152e-02 0.00
0  0  0  0  [82, 204]  [328, 329, 330, 331, 816, 817, 818, 819]  1.241066e-02 0.00
0  0  0  0  [162, 203]  [648, 649, 650, 651, 812, 813, 814, 815]  1.333878e-02 0.00
0  0  0  0  [237, 43]  [948, 949, 950, 951, 172, 173, 174, 175]  1.499174e-02 0.00
0  0  0  0  [106, 242]  [424, 425, 426, 427, 968, 969, 970, 971]  1.630017e-02 0.00
4  2  16  20  [134, 22]  [536, 537, 538, 539, 88, 89, 90, 91]  8.887302e-03 1327.95
0  0  0  0  [249, 235]  [996, 997, 998, 999, 940, 941, 942, 943]  9.544314e-03 0.00
0  0  0  0  [86, 175]  [344, 345, 346, 347, 700, 701, 702, 703]  1.066159e-02 0.00
0  0  0  0  [6, 228]  [24, 25, 26, 27, 912, 913, 914, 915]  1.074121e-02 0.00
