# 1. len_slice  2. n_select_slc  3. beams  4. n_optimization_restarts  5. best slices  6. best points  7. loss (variance)  8. time spent (min)
3  5  1  20  [175, 163, 114, 140, 60]  [525, 526, 527, 489, 490, 491, 342, 343, 344, 420, 421, 422, 180, 181, 182]  1.145954e-03 76.29
3  5  4  20  [175, 163, 114, 140, 60]  [525, 526, 527, 489, 490, 491, 342, 343, 344, 420, 421, 422, 180, 181, 182]  1.145954e-03 283.76
0  0  0  0  [152, 64, 139, 11, 96]  [456, 457, 458, 192, 193, 194, 417, 418, 419, 33, 34, 35, 288, 289, 290]  1.150383e-03 0.00
0  0  0  0  [59, 169, 23, 123, 68]  [177, 178, 179, 507, 508, 509, 69, 70, 71, 369, 370, 371, 204, 205, 206]  1.232100e-03 0.00
0  0  0  0  [108, 29, 133, 86, 32]  [324, 325, 326, 87, 88, 89, 399, 400, 401, 258, 259, 260, 96, 97, 98]  1.293999e-03 0.00
3  5  8  20  [179, 142, 132, 67, 100]  [537, 538, 539, 426, 427, 428, 396, 397, 398, 201, 202, 203, 300, 301, 302]  1.087274e-03 557.79
0  0  0  0  [29, 41, 40, 106, 11]  [87, 88, 89, 123, 124, 125, 120, 121, 122, 318, 319, 320, 33, 34, 35]  1.129710e-03 0.00
0  0  0  0  [175, 163, 114, 140, 60]  [525, 526, 527, 489, 490, 491, 342, 343, 344, 420, 421, 422, 180, 181, 182]  1.145954e-03 0.00
0  0  0  0  [152, 64, 139, 11, 96]  [456, 457, 458, 192, 193, 194, 417, 418, 419, 33, 34, 35, 288, 289, 290]  1.150383e-03 0.00
0  0  0  0  [59, 169, 23, 123, 68]  [177, 178, 179, 507, 508, 509, 69, 70, 71, 369, 370, 371, 204, 205, 206]  1.232100e-03 0.00
0  0  0  0  [58, 47, 140, 11, 117]  [174, 175, 176, 141, 142, 143, 420, 421, 422, 33, 34, 35, 351, 352, 353]  1.292104e-03 0.00
0  0  0  0  [108, 29, 133, 86, 32]  [324, 325, 326, 87, 88, 89, 399, 400, 401, 258, 259, 260, 96, 97, 98]  1.293999e-03 0.00
0  0  0  0  [128, 2, 13, 99, 116]  [384, 385, 386, 6, 7, 8, 39, 40, 41, 297, 298, 299, 348, 349, 350]  2.182357e-03 0.00
3  5  16  20  [145, 6, 1, 122, 142]  [435, 436, 437, 18, 19, 20, 3, 4, 5, 366, 367, 368, 426, 427, 428]  1.032485e-03 1119.15
0  0  0  0  [179, 142, 132, 67, 100]  [537, 538, 539, 426, 427, 428, 396, 397, 398, 201, 202, 203, 300, 301, 302]  1.087274e-03 0.00
0  0  0  0  [11, 19, 173, 73, 79]  [33, 34, 35, 57, 58, 59, 519, 520, 521, 219, 220, 221, 237, 238, 239]  1.101326e-03 0.00
0  0  0  0  [32, 135, 106, 21, 86]  [96, 97, 98, 405, 406, 407, 318, 319, 320, 63, 64, 65, 258, 259, 260]  1.104913e-03 0.00
0  0  0  0  [29, 41, 40, 106, 11]  [87, 88, 89, 123, 124, 125, 120, 121, 122, 318, 319, 320, 33, 34, 35]  1.129710e-03 0.00
0  0  0  0  [175, 163, 114, 140, 60]  [525, 526, 527, 489, 490, 491, 342, 343, 344, 420, 421, 422, 180, 181, 182]  1.145954e-03 0.00
0  0  0  0  [152, 64, 139, 11, 96]  [456, 457, 458, 192, 193, 194, 417, 418, 419, 33, 34, 35, 288, 289, 290]  1.150383e-03 0.00
0  0  0  0  [69, 45, 1, 112, 56]  [207, 208, 209, 135, 136, 137, 3, 4, 5, 336, 337, 338, 168, 169, 170]  1.155847e-03 0.00
0  0  0  0  [59, 169, 23, 123, 68]  [177, 178, 179, 507, 508, 509, 69, 70, 71, 369, 370, 371, 204, 205, 206]  1.232100e-03 0.00
0  0  0  0  [58, 47, 140, 11, 117]  [174, 175, 176, 141, 142, 143, 420, 421, 422, 33, 34, 35, 351, 352, 353]  1.292104e-03 0.00
0  0  0  0  [108, 29, 133, 86, 32]  [324, 325, 326, 87, 88, 89, 399, 400, 401, 258, 259, 260, 96, 97, 98]  1.293999e-03 0.00
0  0  0  0  [8, 156, 61, 187, 67]  [24, 25, 26, 468, 469, 470, 183, 184, 185, 561, 562, 563, 201, 202, 203]  1.357938e-03 0.00
0  0  0  0  [43, 133, 132, 134, 181]  [129, 130, 131, 399, 400, 401, 396, 397, 398, 402, 403, 404, 543, 544, 545]  1.461304e-03 0.00
0  0  0  0  [187, 78, 132, 97, 11]  [561, 562, 563, 234, 235, 236, 396, 397, 398, 291, 292, 293, 33, 34, 35]  1.482154e-03 0.00
0  0  0  0  [20, 98, 173, 63, 114]  [60, 61, 62, 294, 295, 296, 519, 520, 521, 189, 190, 191, 342, 343, 344]  1.615231e-03 0.00
0  0  0  0  [128, 2, 13, 99, 116]  [384, 385, 386, 6, 7, 8, 39, 40, 41, 297, 298, 299, 348, 349, 350]  2.182357e-03 0.00
3  5  24  20  [19, 112, 114, 1, 108]  [57, 58, 59, 336, 337, 338, 342, 343, 344, 3, 4, 5, 324, 325, 326]  1.011302e-03 1659.90
0  0  0  0  [174, 65, 9, 35, 55]  [522, 523, 524, 195, 196, 197, 27, 28, 29, 105, 106, 107, 165, 166, 167]  1.015866e-03 0.00
0  0  0  0  [145, 6, 1, 122, 142]  [435, 436, 437, 18, 19, 20, 3, 4, 5, 366, 367, 368, 426, 427, 428]  1.032485e-03 0.00
0  0  0  0  [179, 142, 132, 67, 100]  [537, 538, 539, 426, 427, 428, 396, 397, 398, 201, 202, 203, 300, 301, 302]  1.087274e-03 0.00
0  0  0  0  [11, 19, 173, 73, 79]  [33, 34, 35, 57, 58, 59, 519, 520, 521, 219, 220, 221, 237, 238, 239]  1.101326e-03 0.00
0  0  0  0  [161, 56, 130, 11, 149]  [483, 484, 485, 168, 169, 170, 390, 391, 392, 33, 34, 35, 447, 448, 449]  1.103093e-03 0.00
0  0  0  0  [32, 135, 106, 21, 86]  [96, 97, 98, 405, 406, 407, 318, 319, 320, 63, 64, 65, 258, 259, 260]  1.104913e-03 0.00
0  0  0  0  [29, 41, 40, 106, 11]  [87, 88, 89, 123, 124, 125, 120, 121, 122, 318, 319, 320, 33, 34, 35]  1.129710e-03 0.00
