# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas MWDM_inverse 
2.725741e-01 4.812963e-02 6.735556e-01 1.760000e-09 9.531111e-01 -7.055556e-01 -4.444444e-03 6.250000e-02 3.218889e+00 1.030556e-02 3.388889e-01 
2.940926e-01 4.609259e-02 6.828889e-01 2.008889e-09 9.077778e-01 -1.218889e+00 3.422222e-01 3.358333e-01 2.461852e+00 -1.976111e-02 9.722222e-01 
3.150926e-01 4.079630e-02 7.495556e-01 2.600000e-09 9.722222e-01 -1.030000e+00 -5.688889e-01 2.125000e-01 2.850741e+00 -7.309259e-03 1.833333e-01 
2.666111e-01 4.212963e-02 7.273333e-01 1.946667e-09 9.046667e-01 -1.107778e+00 -1.333333e-02 1.525000e-01 3.561111e+00 1.288704e-02 6.685185e-01 
2.995370e-01 4.546296e-02 6.460000e-01 2.560000e-09 9.726667e-01 -8.633333e-01 3.644444e-01 1.425000e-01 2.731481e+00 -2.462037e-02 6.648148e-01 
3.285741e-01 4.779630e-02 7.095556e-01 1.777778e-09 9.313333e-01 -9.233333e-01 -6.000000e-01 3.825000e-01 2.596667e+00 -1.387037e-03 5.000000e-02 
2.762037e-01 4.616667e-02 7.011111e-01 1.511111e-09 8.957778e-01 -1.072222e+00 -7.111111e-02 3.725000e-01 2.212963e+00 4.838889e-03 6.537037e-01 
3.026481e-01 4.783333e-02 6.513333e-01 2.564444e-09 9.286667e-01 -8.677778e-01 -3.866667e-01 8.416667e-02 3.234444e+00 2.105556e-03 4.259259e-02 
3.205370e-01 4.031481e-02 7.402222e-01 2.195556e-09 9.673333e-01 -1.138889e+00 1.511111e-01 1.691667e-01 3.084074e+00 -2.279815e-02 8.129630e-01 
2.660926e-01 4.764815e-02 7.300000e-01 1.728889e-09 9.948889e-01 -1.001111e+00 -1.422222e-01 8.083333e-02 3.436667e+00 -3.664815e-03 7.685185e-01 
2.834630e-01 4.261111e-02 7.135556e-01 2.493333e-09 8.820000e-01 -7.788889e-01 -3.422222e-01 3.691667e-01 3.130741e+00 -2.264630e-02 3.685185e-01 
3.184630e-01 4.505556e-02 6.451111e-01 2.093333e-09 9.584444e-01 -1.201111e+00 1.866667e-01 2.691667e-01 2.218148e+00 3.016667e-03 2.944444e-01 
2.614259e-01 4.935185e-02 7.211111e-01 2.337778e-09 8.971111e-01 -9.211111e-01 -4.222222e-01 2.725000e-01 2.321852e+00 -6.853704e-03 4.500000e-01 
3.055000e-01 4.264815e-02 6.597778e-01 2.280000e-09 9.935556e-01 -1.294444e+00 -2.222222e-02 3.408333e-01 2.975185e+00 -1.581296e-02 8.166667e-01 
3.200185e-01 4.372222e-02 7.113333e-01 1.577778e-09 9.384444e-01 -7.700000e-01 1.822222e-01 1.175000e-01 3.364074e+00 5.294444e-03 9.074074e-02 
2.824259e-01 4.416667e-02 6.762222e-01 1.960000e-09 9.864444e-01 -1.172222e+00 4.311111e-01 3.075000e-01 3.213704e+00 -2.021667e-02 5.370370e-02 
2.839815e-01 4.012963e-02 6.824444e-01 2.684444e-09 9.326667e-01 -9.611111e-01 -3.111111e-01 5.916667e-02 2.695185e+00 1.440556e-02 6.462963e-01 
3.189815e-01 4.987037e-02 7.406667e-01 1.644444e-09 9.011111e-01 -8.588889e-01 -2.755556e-01 2.391667e-01 2.518889e+00 -4.727778e-03 7.314815e-01 
2.782778e-01 4.561111e-02 7.477778e-01 2.657778e-09 9.428889e-01 -9.522222e-01 2.177778e-01 1.491667e-01 3.317407e+00 8.483333e-03 8.759259e-01 
2.878704e-01 4.738889e-02 6.664444e-01 2.146667e-09 9.780000e-01 -7.833333e-01 -4.400000e-01 2.008333e-01 2.435926e+00 -1.368704e-02 9.259259e-03 
3.122407e-01 4.009259e-02 6.904444e-01 1.555556e-09 8.962222e-01 -1.254444e+00 -7.555556e-02 3.425000e-01 2.918148e+00 -1.125741e-02 5.833333e-01 
2.707593e-01 4.487037e-02 7.006667e-01 2.302222e-09 8.851111e-01 -1.283333e+00 -4.622222e-01 4.191667e-01 3.001111e+00 -7.461111e-03 7.129630e-01 
2.845000e-01 4.116667e-02 7.388889e-01 2.275556e-09 9.757778e-01 -1.007778e+00 1.911111e-01 1.916667e-02 2.264815e+00 5.598148e-03 4.537037e-01 
3.161296e-01 4.853704e-02 6.562222e-01 1.822222e-09 9.540000e-01 -7.011111e-01 7.555556e-02 2.608333e-01 3.400370e+00 -1.140926e-02 3.314815e-01 
2.720556e-01 4.298148e-02 6.940000e-01 1.515556e-09 9.922222e-01 -8.166667e-01 -1.155556e-01 2.941667e-01 3.239630e+00 -1.083333e-03 1.500000e-01 
3.052407e-01 4.787037e-02 7.517778e-01 2.577778e-09 9.473333e-01 -9.633333e-01 2.666667e-01 3.241667e-01 2.617407e+00 -2.219074e-02 7.981481e-01 
3.207963e-01 4.538889e-02 6.495556e-01 2.186667e-09 9.028889e-01 -1.296667e+00 -4.266667e-01 5.750000e-02 2.980370e+00 4.231481e-03 3.833333e-01 
2.730926e-01 4.775926e-02 7.140000e-01 2.542222e-09 9.331111e-01 -9.033333e-01 -6.444444e-01 9.166667e-03 3.032222e+00 1.000185e-02 6.240741e-01 
3.049815e-01 4.635185e-02 7.526667e-01 1.635556e-09 9.717778e-01 -1.116667e+00 3.866667e-01 2.775000e-01 3.498889e+00 -1.262407e-02 3.018519e-01 
3.119815e-01 4.216667e-02 6.473333e-01 1.933333e-09 9.095556e-01 -8.833333e-01 -6.222222e-02 3.958333e-01 2.202593e+00 -4.879630e-03 7.574074e-01 
2.640185e-01 4.294444e-02 7.366667e-01 2.688889e-09 8.837778e-01 -1.032222e+00 2.800000e-01 2.575000e-01 2.959630e+00 -6.701852e-03 2.981481e-01 
2.912407e-01 4.712963e-02 6.424444e-01 2.057778e-09 9.868889e-01 -1.130000e+00 -1.377778e-01 5.833333e-03 2.638148e+00 1.167222e-02 4.203704e-01 
3.187222e-01 4.638889e-02 7.193333e-01 1.528889e-09 9.486667e-01 -8.966667e-01 -3.955556e-01 4.441667e-01 3.151481e+00 -1.915370e-02 7.092593e-01 
2.741296e-01 4.975926e-02 6.593333e-01 2.324444e-09 9.993333e-01 -1.074444e+00 -3.330669e-16 3.375000e-01 2.881852e+00 -1.763519e-02 5.314815e-01 
2.896852e-01 4.361111e-02 7.268889e-01 2.102222e-09 8.846667e-01 -7.233333e-01 3.777778e-01 1.308333e-01 2.332222e+00 -1.690741e-03 3.055556e-01 
3.130185e-01 4.112963e-02 6.971111e-01 1.857778e-09 9.295556e-01 -1.234444e+00 -6.755556e-01 2.108333e-01 3.441852e+00 9.698148e-03 6.833333e-01 
2.733519e-01 4.175926e-02 7.286667e-01 2.168889e-09 9.224444e-01 -9.588889e-01 -6.888889e-01 3.325000e-01 2.285556e+00 -1.991296e-02 3.870370e-01 
2.891667e-01 4.438889e-02 6.784444e-01 2.320000e-09 8.993333e-01 -8.300000e-01 4.088889e-01 1.991667e-01 3.540370e+00 9.394444e-03 1.203704e-01 
3.091296e-01 4.909259e-02 6.935556e-01 1.746667e-09 9.944444e-01 -1.238889e+00 9.777778e-02 1.241667e-01 2.772963e+00 -9.435185e-03 8.500000e-01 
2.767222e-01 4.624074e-02 6.842222e-01 1.657778e-09 8.806667e-01 -8.877778e-01 -1.866667e-01 4.075000e-01 3.192963e+00 -1.338333e-02 8.722222e-01 
2.938333e-01 4.761111e-02 7.446667e-01 2.240000e-09 9.371111e-01 -1.207778e+00 3.733333e-01 1.708333e-01 3.110000e+00 1.212778e-02 1.666667e-02 
3.137963e-01 4.194444e-02 6.722222e-01 2.391111e-09 9.824444e-01 -9.433333e-01 -3.244444e-01 3.416667e-02 2.233704e+00 -1.110556e-02 6.351852e-01 
2.808704e-01 4.038889e-02 7.046667e-01 1.942222e-09 9.873333e-01 -8.944444e-01 -6.844444e-01 1.508333e-01 2.550000e+00 8.027778e-03 3.537037e-01 
2.860556e-01 4.583333e-02 7.308889e-01 1.617778e-09 8.824444e-01 -1.045556e+00 3.466667e-01 3.991667e-01 2.964815e+00 -1.307963e-02 1.759259e-01 
3.182037e-01 4.957407e-02 6.491111e-01 2.497778e-09 9.482222e-01 -1.101111e+00 -3.111111e-02 1.225000e-01 3.208519e+00 -4.120370e-03 9.166667e-01 
2.793148e-01 4.227778e-02 6.646667e-01 2.671111e-09 9.940000e-01 -9.144444e-01 -5.600000e-01 2.558333e-01 2.876667e+00 -1.945741e-02 4.240741e-01 
2.881296e-01 4.838889e-02 6.962222e-01 1.546667e-09 9.317778e-01 -7.522222e-01 2.933333e-01 3.341667e-01 2.513704e+00 4.079630e-03 1.277778e-01 
3.148333e-01 4.509259e-02 7.215556e-01 2.164444e-09 8.877778e-01 -1.243333e+00 4.000000e-02 1.475000e-01 3.447037e+00 -1.994444e-03 9.907407e-01 
2.603889e-01 4.727778e-02 7.175556e-01 2.044444e-09 9.051111e-01 -1.223333e+00 -2.355556e-01 2.258333e-01 3.042593e+00 -2.310185e-02 1.314815e-01 
2.870926e-01 4.375926e-02 6.504444e-01 2.475556e-09 9.846667e-01 -7.922222e-01 3.066667e-01 9.583333e-02 3.275926e+00 8.179630e-03 5.574074e-01 
3.277963e-01 4.198148e-02 7.322222e-01 1.871111e-09 9.255556e-01 -9.677778e-01 -5.155556e-01 3.841667e-01 2.591481e+00 1.801852e-03 8.574074e-01 
2.736111e-01 4.542593e-02 6.544444e-01 2.222222e-09 9.388889e-01 -1.118889e+00 4.844444e-01 5.250000e-02 3.161852e+00 -4.575926e-03 9.944444e-01 
2.837222e-01 4.316667e-02 7.384444e-01 1.733333e-09 8.873333e-01 -8.566667e-01 -2.977778e-01 1.641667e-01 3.052963e+00 7.724074e-03 5.555556e-03 
3.252037e-01 4.842593e-02 7.060000e-01 2.471111e-09 9.837778e-01 -9.944444e-01 -3.466667e-01 4.458333e-01 2.643333e+00 -1.156111e-02 5.240741e-01 
2.798333e-01 4.650000e-02 6.744444e-01 2.031111e-09 9.691111e-01 -7.255556e-01 4.044444e-01 2.458333e-01 2.384074e+00 9.850000e-03 8.055556e-01 
2.992778e-01 4.816667e-02 6.868889e-01 2.528889e-09 9.522222e-01 -1.245556e+00 -1.244444e-01 4.408333e-01 3.483333e+00 -1.247222e-02 1.981481e-01 
3.086111e-01 4.083333e-02 7.375556e-01 1.666667e-09 9.140000e-01 -1.090000e+00 -6.133333e-01 5.583333e-02 2.705556e+00 -1.095370e-02 6.018519e-01 
2.749074e-01 4.138889e-02 7.073333e-01 1.520000e-09 9.642222e-01 -8.077778e-01 -5.333333e-02 3.808333e-01 2.804074e+00 1.346296e-03 9.462963e-01 
2.985000e-01 4.464815e-02 6.508889e-01 2.586667e-09 9.113333e-01 -9.900000e-01 4.222222e-01 6.083333e-02 2.508519e+00 8.331481e-03 2.833333e-01 
3.096481e-01 4.950000e-02 7.362222e-01 1.955556e-09 9.526667e-01 -1.250000e+00 -6.711111e-01 1.625000e-01 3.146296e+00 -1.535741e-02 4.425926e-01 
2.800926e-01 4.601852e-02 7.371111e-01 2.231111e-09 9.900000e-01 -8.722222e-01 -2.800000e-01 4.258333e-01 3.182593e+00 -1.869815e-02 7.962963e-02 
3.010926e-01 4.801852e-02 6.957778e-01 1.533333e-09 9.380000e-01 -1.081111e+00 -6.088889e-01 2.250000e-02 2.524074e+00 5.901852e-03 7.351852e-01 
3.070556e-01 4.061111e-02 6.406667e-01 2.377778e-09 8.966667e-01 -1.112222e+00 4.000000e-01 2.975000e-01 2.933704e+00 -9.131481e-03 5.759259e-01 
2.684259e-01 4.016667e-02 6.948889e-01 2.582222e-09 9.308889e-01 -1.150000e+00 1.733333e-01 3.058333e-01 3.281111e+00 -5.487037e-03 8.944444e-01 
2.868333e-01 4.861111e-02 6.571111e-01 1.697778e-09 8.984444e-01 -7.900000e-01 -6.533333e-01 1.375000e-01 2.928519e+00 -1.429444e-02 4.981481e-01 
3.239074e-01 4.575926e-02 7.420000e-01 2.151111e-09 9.913333e-01 -1.098889e+00 -1.111111e-01 2.591667e-01 2.451481e+00 5.142593e-03 1.851852e-03 
2.637593e-01 4.772222e-02 6.442222e-01 1.782222e-09 9.304444e-01 -1.261111e+00 -2.266667e-01 2.925000e-01 2.721111e+00 2.409259e-03 2.166667e-01 
3.003148e-01 4.072222e-02 7.197778e-01 2.413333e-09 9.762222e-01 -9.411111e-01 2.533333e-01 4.241667e-01 2.612222e+00 -7.796296e-04 9.759259e-01 
3.265000e-01 4.642593e-02 7.282222e-01 2.053333e-09 9.131111e-01 -7.988889e-01 -5.866667e-01 2.083333e-02 3.203333e+00 -1.323148e-02 3.759259e-01 
2.645370e-01 4.653704e-02 6.717778e-01 1.848889e-09 9.242222e-01 -7.477778e-01 9.333333e-02 1.541667e-01 2.290741e+00 -2.067222e-02 7.648148e-01 
2.933148e-01 4.705556e-02 7.584444e-01 2.200000e-09 9.042222e-01 -1.023333e+00 -6.044444e-01 4.291667e-01 3.338148e+00 -7.764815e-03 2.500000e-01 
3.202778e-01 4.094444e-02 6.855556e-01 2.311111e-09 9.700000e-01 -1.167778e+00 3.822222e-01 9.750000e-02 3.115185e+00 1.015370e-02 4.907407e-01 
2.772407e-01 4.979630e-02 7.593333e-01 1.951111e-09 9.820000e-01 -7.877778e-01 -9.333333e-02 2.225000e-01 2.539630e+00 -6.277778e-04 1.944444e-01 
3.034259e-01 4.150000e-02 6.984444e-01 1.817778e-09 9.513333e-01 -1.212222e+00 2.888889e-01 4.058333e-01 3.369259e+00 9.546296e-03 8.314815e-01 
3.112037e-01 4.435185e-02 6.651111e-01 2.351111e-09 8.944444e-01 -1.034444e+00 -5.422222e-01 2.916667e-02 2.679630e+00 -2.431667e-02 5.092593e-01 
2.715370e-01 4.335185e-02 7.566667e-01 2.422222e-09 9.357778e-01 -8.011111e-01 1.111111e-01 8.583333e-02 2.607037e+00 -2.188704e-02 6.129630e-01 
2.920185e-01 4.938889e-02 6.668889e-01 2.155556e-09 8.895556e-01 -1.214444e+00 -2.488889e-01 2.041667e-01 2.690000e+00 1.470926e-02 8.092593e-01 
3.233889e-01 4.257407e-02 6.891111e-01 1.884444e-09 9.904444e-01 -1.005556e+00 -3.333333e-01 3.775000e-01 3.581852e+00 -1.019444e-02 2.685185e-01 
2.629815e-01 4.709259e-02 6.895556e-01 1.973333e-09 9.291111e-01 -7.455556e-01 1.422222e-01 4.475000e-01 3.472963e+00 3.320370e-03 4.166667e-01 
2.886481e-01 4.387037e-02 6.637778e-01 1.662222e-09 9.753333e-01 -1.187778e+00 -5.244444e-01 2.416667e-02 2.861111e+00 -1.733148e-02 2.462963e-01 
3.195000e-01 4.220370e-02 7.353333e-01 2.640000e-09 9.064444e-01 -9.366667e-01 1.333333e-02 1.858333e-01 2.446296e+00 -3.240741e-04 9.425926e-01 
2.619444e-01 4.550000e-02 6.806667e-01 2.680000e-09 9.571111e-01 -1.143333e+00 -4.444444e-02 1.658333e-01 2.627778e+00 1.182407e-02 1.166667e-01 
2.946111e-01 4.190741e-02 7.415556e-01 1.564444e-09 9.682222e-01 -8.233333e-01 4.977778e-01 1.441667e-01 2.840370e+00 -1.778704e-02 6.277778e-01 
3.267593e-01 4.768519e-02 6.620000e-01 1.964444e-09 8.900000e-01 -1.083333e+00 -5.511111e-01 3.475000e-01 3.286296e+00 -8.372222e-03 6.981481e-01 
2.650556e-01 4.224074e-02 7.206667e-01 1.937778e-09 9.917778e-01 -1.183333e+00 -6.800000e-01 3.508333e-01 2.949259e+00 -4.272222e-03 6.870370e-01 
3.013519e-01 4.846296e-02 7.153333e-01 2.604444e-09 9.024444e-01 -8.788889e-01 2.666667e-02 2.991667e-01 2.575926e+00 1.152037e-02 6.111111e-02 
3.179444e-01 4.412963e-02 6.731111e-01 1.671111e-09 9.442222e-01 -9.700000e-01 4.666667e-01 3.916667e-02 3.457407e+00 -1.353519e-02 6.574074e-01 
2.668704e-01 4.405556e-02 6.997778e-01 2.071111e-09 9.237778e-01 -1.190000e+00 1.022222e-01 3.925000e-01 3.415926e+00 7.268519e-03 3.518519e-02 
2.930556e-01 4.883333e-02 7.428889e-01 2.466667e-09 9.073333e-01 -1.063333e+00 -4.488889e-01 7.583333e-02 2.715926e+00 -1.292778e-02 9.870370e-01 
3.293519e-01 4.131481e-02 6.553333e-01 1.648889e-09 9.704444e-01 -7.655556e-01 -2.088889e-01 1.725000e-01 2.653704e+00 -5.638889e-03 4.351852e-01 
2.671296e-01 4.183333e-02 6.433333e-01 1.604444e-09 9.246667e-01 -1.014444e+00 1.377778e-01 1.258333e-01 2.907778e+00 9.090741e-03 4.314815e-01 
3.062778e-01 4.675926e-02 7.171111e-01 2.644444e-09 9.988889e-01 -7.100000e-01 -3.022222e-01 1.875000e-01 3.270741e+00 -3.209259e-03 2.203704e-01 
3.088704e-01 4.524074e-02 7.553333e-01 1.986667e-09 8.802222e-01 -1.163333e+00 -2.533333e-01 3.391667e-01 2.601852e+00 -2.127963e-02 7.425926e-01 
2.780185e-01 4.090741e-02 7.251111e-01 1.995556e-09 9.206667e-01 -8.922222e-01 3.511111e-01 4.091667e-01 2.363333e+00 -1.900185e-02 5.462963e-01 
2.899444e-01 4.953704e-02 7.091111e-01 1.862222e-09 9.953333e-01 -1.181111e+00 -1.777778e-02 6.416667e-02 3.156667e+00 -1.004259e-02 2.037037e-02 
3.153519e-01 4.501852e-02 6.695556e-01 2.617778e-09 9.157778e-01 -9.300000e-01 -5.822222e-01 2.291667e-01 3.104815e+00 1.455741e-02 8.685185e-01 
2.806111e-01 4.920370e-02 6.766667e-01 2.457778e-09 9.877778e-01 -9.655556e-01 -2.844444e-01 2.808333e-01 3.421111e+00 1.349444e-02 5.981481e-01 
2.979815e-01 4.516667e-02 7.246667e-01 2.097778e-09 9.300000e-01 -1.263333e+00 -4.177778e-01 8.250000e-02 2.301111e+00 -2.203889e-02 3.888889e-02 
3.109444e-01 4.201852e-02 7.051111e-01 1.613333e-09 8.886667e-01 -8.811111e-01 4.711111e-01 3.191667e-01 2.954444e+00 -3.057407e-03 8.870370e-01 
2.705000e-01 4.164815e-02 6.500000e-01 2.204444e-09 9.602222e-01 -9.566667e-01 -4.533333e-01 2.500000e-03 3.395185e+00 -2.298148e-03 3.425926e-01 
2.961667e-01 4.946296e-02 7.397778e-01 1.724444e-09 9.477778e-01 -8.500000e-01 4.533333e-01 2.425000e-01 3.094444e+00 3.168519e-03 8.388889e-01 
3.163889e-01 4.350000e-02 7.015556e-01 2.595556e-09 9.108889e-01 -1.121111e+00 -1.822222e-01 3.975000e-01 2.275185e+00 -1.520556e-02 2.796296e-01 
2.689444e-01 4.109259e-02 7.357778e-01 2.662222e-09 9.882222e-01 -1.052222e+00 8.444444e-02 1.825000e-01 3.099630e+00 -9.587037e-03 2.351852e-01 
2.953889e-01 4.805556e-02 7.157778e-01 1.631111e-09 9.348889e-01 -1.127778e+00 -5.377778e-01 3.575000e-01 3.301852e+00 1.121667e-02 8.648148e-01 
3.117222e-01 4.579630e-02 6.477778e-01 1.902222e-09 8.864444e-01 -8.455556e-01 3.600000e-01 9.083333e-02 2.622593e+00 -1.626852e-02 3.796296e-01 
2.673889e-01 4.420370e-02 6.851111e-01 1.622222e-09 9.086667e-01 -1.092222e+00 -4.311111e-01 7.750000e-02 2.814444e+00 -1.459815e-02 9.574074e-01 
2.904630e-01 4.735185e-02 6.713333e-01 2.666667e-09 9.504444e-01 -7.744444e-01 1.555556e-01 3.891667e-01 2.228519e+00 -7.916667e-03 4.129630e-01 
3.083519e-01 4.283333e-02 7.544444e-01 2.160000e-09 9.793333e-01 -1.170000e+00 -1.600000e-01 2.658333e-01 3.524815e+00 1.258333e-02 2.870370e-01 
2.653148e-01 4.368519e-02 6.900000e-01 1.826667e-09 8.868889e-01 -1.103333e+00 4.355556e-01 1.591667e-01 3.426296e+00 -1.717963e-02 5.166667e-01 
2.876111e-01 4.698148e-02 6.575556e-01 2.506667e-09 9.508889e-01 -1.038889e+00 -6.355556e-01 4.375000e-01 2.726296e+00 6.205556e-03 2.314815e-01 
3.275370e-01 4.324074e-02 7.540000e-01 1.906667e-09 9.806667e-01 -8.611111e-01 -9.777778e-02 1.008333e-01 2.378889e+00 -6.550000e-03 8.462963e-01 
2.658333e-01 4.831481e-02 7.202222e-01 1.928889e-09 9.015556e-01 -9.922222e-01 3.555556e-02 2.750000e-02 2.534444e+00 1.197593e-02 3.907407e-01 
2.917593e-01 4.209259e-02 6.753333e-01 2.404444e-09 9.264444e-01 -1.232222e+00 -6.488889e-01 2.825000e-01 3.177407e+00 -2.295000e-02 2.388889e-01 
3.262407e-01 4.475926e-02 6.975556e-01 1.764444e-09 9.980000e-01 -8.433333e-01 3.377778e-01 3.525000e-01 3.037407e+00 -9.314815e-04 7.537037e-01 
2.811296e-01 4.231481e-02 7.104444e-01 1.982222e-09 8.917778e-01 -7.611111e-01 -3.733333e-01 1.575000e-01 2.347778e+00 1.498148e-03 9.500000e-01 
2.977222e-01 4.875926e-02 7.260000e-01 1.755556e-09 9.593333e-01 -9.344444e-01 -2.000000e-01 4.125000e-01 3.467778e+00 1.106481e-02 1.129630e-01 
3.192407e-01 4.527778e-02 6.726667e-01 2.484444e-09 9.695556e-01 -1.272222e+00 1.066667e-01 3.583333e-02 2.897407e+00 -1.960926e-02 3.722222e-01 
2.723148e-01 4.983333e-02 7.313333e-01 2.000000e-09 9.660000e-01 -9.811111e-01 -4.888889e-01 3.908333e-01 2.793704e+00 -1.034630e-02 8.833333e-01 
2.969444e-01 4.179630e-02 7.028889e-01 1.840000e-09 8.855556e-01 -1.221111e+00 3.333333e-01 1.791667e-01 2.581111e+00 1.486111e-02 4.611111e-01 
3.220926e-01 4.342593e-02 6.615556e-01 2.360000e-09 9.566667e-01 -8.211111e-01 -1.688889e-01 9.250000e-02 3.291481e+00 -2.340556e-02 1.092593e-01 
2.676481e-01 4.327778e-02 6.486667e-01 1.977778e-09 9.664444e-01 -1.276667e+00 -1.777778e-01 2.375000e-01 3.576667e+00 6.357407e-03 6.759259e-01 
2.966852e-01 4.809259e-02 7.393333e-01 1.786667e-09 9.277778e-01 -1.050000e+00 2.355556e-01 4.250000e-02 2.244074e+00 -1.809074e-02 5.611111e-01 
3.272778e-01 4.346296e-02 7.131111e-01 2.511111e-09 9.135556e-01 -7.411111e-01 -3.822222e-01 4.308333e-01 3.016667e+00 1.042593e-03 2.759259e-01 
2.627222e-01 4.394444e-02 7.575556e-01 1.813333e-09 9.273333e-01 -1.110000e+00 3.111111e-01 2.358333e-01 2.648519e+00 -1.842593e-03 9.314815e-01 
2.943519e-01 4.701852e-02 6.415556e-01 2.137778e-09 8.882222e-01 -8.766667e-01 -1.200000e-01 3.741667e-01 2.684815e+00 -1.657222e-02 9.814815e-02 
3.259815e-01 4.305556e-02 6.873333e-01 2.315556e-09 9.997778e-01 -1.025556e+00 -5.777778e-01 7.916667e-02 3.260370e+00 4.990741e-03 5.351852e-01 
2.738704e-01 4.694444e-02 7.020000e-01 2.626667e-09 9.228889e-01 -7.344444e-01 1.688889e-01 3.708333e-01 3.125556e+00 -1.186481e-02 9.388889e-01 
3.008333e-01 4.657407e-02 6.437778e-01 1.542222e-09 9.957778e-01 -1.058889e+00 -5.200000e-01 2.641667e-01 3.172222e+00 4.535185e-03 4.648148e-01 
3.210556e-01 4.268519e-02 7.597778e-01 2.253333e-09 9.068889e-01 -1.156667e+00 -3.555556e-02 1.075000e-01 2.358148e+00 1.650000e-03 2.055556e-01 
2.616852e-01 4.790741e-02 6.420000e-01 2.431111e-09 9.100000e-01 -1.027778e+00 -2.222222e-01 4.416667e-02 2.809259e+00 -1.383889e-02 3.574074e-01 
2.857963e-01 4.001852e-02 7.166667e-01 2.040000e-09 9.748889e-01 -1.290000e+00 3.022222e-01 3.491667e-01 2.560370e+00 2.864815e-03 2.611111e-01 
3.174259e-01 4.468519e-02 7.291111e-01 1.853333e-09 9.468889e-01 -7.077778e-01 -3.600000e-01 2.191667e-01 3.504074e+00 1.194444e-03 8.981481e-01 
2.694630e-01 4.672222e-02 7.500000e-01 1.675556e-09 9.393333e-01 -8.477778e-01 -6.977778e-01 1.758333e-01 3.073704e+00 -1.399074e-02 3.611111e-01 
3.021296e-01 4.146296e-02 6.540000e-01 2.573333e-09 9.833333e-01 -1.136667e+00 -1.288889e-01 3.108333e-01 3.229259e+00 8.907407e-04 6.851852e-02 
3.145741e-01 4.661111e-02 6.966667e-01 2.017778e-09 9.117778e-01 -9.855556e-01 4.622222e-01 1.058333e-01 2.342593e+00 7.420370e-03 9.685185e-01 
2.686852e-01 4.153704e-02 6.748889e-01 2.022222e-09 9.842222e-01 -9.188889e-01 2.133333e-01 1.741667e-01 3.571481e+00 -1.930556e-02 6.388889e-01 
3.036852e-01 4.872222e-02 7.326667e-01 2.631111e-09 8.948889e-01 -1.196667e+00 8.888889e-02 3.791667e-01 2.923333e+00 3.624074e-03 7.240741e-01 
