# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas MWDM_inverse 
2.645370e-01 4.653704e-02 6.717778e-01 1.848889e-09 9.242222e-01 -7.477778e-01 9.333333e-02 1.541667e-01 2.290741e+00 -2.067222e-02 7.648148e-01 
2.933148e-01 4.705556e-02 7.584444e-01 2.200000e-09 9.042222e-01 -1.023333e+00 -6.044444e-01 4.291667e-01 3.338148e+00 -7.764815e-03 2.500000e-01 
3.202778e-01 4.094444e-02 6.855556e-01 2.311111e-09 9.700000e-01 -1.167778e+00 3.822222e-01 9.750000e-02 3.115185e+00 1.015370e-02 4.907407e-01 
2.673889e-01 4.420370e-02 6.851111e-01 1.622222e-09 9.086667e-01 -1.092222e+00 -4.311111e-01 7.750000e-02 2.814444e+00 -1.459815e-02 9.574074e-01 
2.904630e-01 4.735185e-02 6.713333e-01 2.666667e-09 9.504444e-01 -7.744444e-01 1.555556e-01 3.891667e-01 2.228519e+00 -7.916667e-03 4.129630e-01 
3.083519e-01 4.283333e-02 7.544444e-01 2.160000e-09 9.793333e-01 -1.170000e+00 -1.600000e-01 2.658333e-01 3.524815e+00 1.258333e-02 2.870370e-01 
2.609074e-01 4.620370e-02 7.340000e-01 2.142222e-09 9.668889e-01 -1.210000e+00 2.844444e-01 4.391667e-01 3.135926e+00 -1.216852e-02 5.648148e-01 
2.964259e-01 4.120370e-02 7.162222e-01 2.435556e-09 9.451111e-01 -7.433333e-01 -6.933333e-01 4.916667e-02 3.021852e+00 -9.738889e-03 7.462963e-01 
3.169074e-01 4.824074e-02 6.557778e-01 1.715556e-09 8.926667e-01 -1.012222e+00 -6.666667e-02 2.025000e-01 2.570741e+00 1.334259e-02 1.685185e-01 
2.624630e-01 4.235185e-02 7.295556e-01 2.333333e-09 8.904444e-01 -1.096667e+00 -5.022222e-01 4.750000e-02 2.658889e+00 -7.005556e-03 3.981481e-01 
2.852778e-01 4.494444e-02 6.628889e-01 1.560000e-09 9.553333e-01 -1.123333e+00 2.444444e-01 4.225000e-01 3.322593e+00 -2.036852e-02 8.018519e-01 
3.298704e-01 4.742593e-02 6.815556e-01 2.235556e-09 9.766667e-01 -7.677778e-01 -4.000000e-02 1.841667e-01 2.674444e+00 1.546852e-02 3.277778e-01 
2.622037e-01 4.461111e-02 7.411111e-01 2.448889e-09 9.615556e-01 -8.366667e-01 -4.000000e-01 2.625000e-01 3.047778e+00 1.410185e-02 1.462963e-01 
3.031667e-01 4.098148e-02 6.531111e-01 2.084444e-09 9.340000e-01 -1.152222e+00 -2.933333e-01 6.916667e-02 3.390000e+00 -1.611667e-02 9.092593e-01 
3.283148e-01 4.687037e-02 7.180000e-01 1.888889e-09 9.122222e-01 -9.966667e-01 4.444444e-01 3.641667e-01 2.238889e+00 -7.612963e-03 3.944444e-01 
2.759444e-01 4.046296e-02 7.535556e-01 2.115556e-09 9.628889e-01 -8.411111e-01 -3.288889e-01 3.758333e-01 3.478148e+00 -2.753704e-03 5.537037e-01 
2.997963e-01 4.679630e-02 7.100000e-01 2.648889e-09 9.162222e-01 -9.166667e-01 1.155556e-01 2.583333e-02 2.487778e+00 -1.642037e-02 2.407407e-02 
3.215741e-01 4.427778e-02 6.446667e-01 1.608889e-09 9.402222e-01 -1.176667e+00 5.333333e-02 1.958333e-01 2.798889e+00 5.750000e-03 9.203704e-01 
