# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
2.744231e-01 4.779231e-02 6.419231e-01 2.295897e-09 9.889103e-01 -6.671795e-01 -5.903846e-01 1.143462e-01 2.337692e+00 -8.461538e-04 
2.968077e-01 4.959231e-02 7.029487e-01 1.934872e-09 9.501923e-01 -7.984615e-01 5.769231e-03 6.980769e-02 3.497179e+00 -1.853846e-02 
3.496538e-01 4.630000e-02 7.370513e-01 2.226154e-09 9.832692e-01 -1.194359e+00 -3.057692e-01 1.203462e-01 2.883333e+00 1.453846e-02 
2.778846e-01 4.751538e-02 6.444872e-01 1.926667e-09 9.731410e-01 -1.155385e+00 3.673077e-01 1.025769e-01 3.586923e+00 -3.153846e-03 
3.000385e-01 5.048462e-02 7.239744e-01 2.037436e-09 9.862179e-01 -8.784615e-01 -6.980769e-01 1.429615e-01 2.617692e+00 2.284615e-02 
3.371923e-01 4.530000e-02 6.957692e-01 2.414872e-09 9.630128e-01 -5.584615e-01 -4.865385e-01 8.088462e-02 2.782821e+00 -1.300000e-02 
2.649615e-01 4.537692e-02 6.847436e-01 2.119487e-09 9.799359e-01 -8.353846e-01 2.903846e-01 1.455000e-01 3.238718e+00 -1.053846e-02 
3.083462e-01 5.079231e-02 6.726923e-01 1.729744e-09 9.840385e-01 -1.227179e+00 -9.442308e-01 9.796154e-02 2.793590e+00 -9.923077e-03 
3.272692e-01 4.782308e-02 7.093590e-01 2.437436e-09 9.636538e-01 -7.123077e-01 -2.942308e-01 6.450000e-02 2.574615e+00 2.269231e-02 
2.861923e-01 4.619231e-02 7.339744e-01 2.154359e-09 9.709615e-01 -9.133333e-01 -7.250000e-01 1.256538e-01 2.377179e+00 1.946154e-02 
3.071923e-01 4.763846e-02 6.893590e-01 2.377949e-09 9.872436e-01 -1.177949e+00 -1.750000e-01 6.957692e-02 3.551026e+00 -2.669231e-02 
3.205769e-01 4.953077e-02 6.565385e-01 1.746154e-09 9.663462e-01 -5.543590e-01 3.211538e-01 1.131923e-01 3.113077e+00 9.461538e-03 
2.672692e-01 4.699231e-02 6.870513e-01 2.129744e-09 9.992949e-01 -7.512821e-01 4.326923e-01 9.519231e-02 3.328462e+00 1.500000e-02 
3.097308e-01 4.783846e-02 6.708974e-01 2.277436e-09 9.507051e-01 -1.046667e+00 -8.826923e-01 6.173077e-02 2.973077e+00 7.000000e-03 
3.392692e-01 5.002308e-02 7.250000e-01 1.867179e-09 9.677564e-01 -8.394872e-01 -9.615385e-03 1.452692e-01 2.685897e+00 -1.069231e-02 
2.663462e-01 4.834615e-02 7.075641e-01 1.932821e-09 9.764744e-01 -1.288718e+00 1.326923e-01 1.300385e-01 3.213590e+00 2.623077e-02 
2.949615e-01 4.590000e-02 6.924359e-01 2.394359e-09 9.933974e-01 -5.092308e-01 -3.519231e-01 9.126923e-02 3.317692e+00 -1.869231e-02 
3.323462e-01 4.948462e-02 6.426923e-01 1.996410e-09 9.566026e-01 -1.020000e+00 -5.134615e-01 8.111538e-02 2.416667e+00 -9.307692e-03 
