# cosmologies
# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas
3.0e-01 4.8e-02 7.0e-01 2.1e-09 9.7e-01 -1.0e+00 0.0e+00 1.0e-01 3.0e+00 0.0e+00
2.38000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
2.56000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
2.74000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
2.92000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.10000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.28000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.46000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.64000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.82000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.15000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.30000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.45000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.60000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.75000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.90000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 5.05000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 5.20000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 5.35000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 6.16000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 6.32000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 6.48000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 6.64000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 6.96000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.12000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.28000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.44000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 1.20000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 1.40000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 1.60000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 1.80000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.00000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.20000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.40000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.60000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.80000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 8.30000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 8.60000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 8.90000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.20000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.50000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.80000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 1.01000000e+00 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 1.04000000e+00 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 1.07000000e+00 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.14500000e+00 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -9.90000000e-01 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -8.35000000e-01 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -6.80000000e-01 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -5.25000000e-01 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -3.70000000e-01 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -2.15000000e-01 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -6.00000000e-02 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 9.50000000e-02 0.00000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 -2.65000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 -2.30000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 -1.95000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 -1.60000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
3.00000000e-01 4.80000000e-02 7.00000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 -1.25000000e+00 1.00000000e-01 3.00000000e+00 0.00000000e+00
