# cosmologies
# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas
2.250000e-01 4.041667e-02 6.577778e-01 2.388889e-09 8.083333e-01 -7.402778e-01 -5.694444e-01 2.166667e-01 3.413889e+00 1.944444e-02 
3.050000e-01 5.458333e-02 7.466667e-01 1.611111e-09 9.916667e-01 1.208333e-01 -2.319444e+00 1.833333e-01 2.775000e+00 1.388889e-02 
3.750000e-01 4.625000e-02 6.311111e-01 1.833333e-09 1.091667e+00 -9.986111e-01 -9.583333e-01 4.500000e-01 4.180556e+00 -3.611111e-02 
2.550000e-01 5.208333e-02 6.844444e-01 2.722222e-09 1.075000e+00 -9.125000e-01 -1.152778e+00 5.000000e-02 4.052778e+00 -2.777778e-03 
3.150000e-01 4.875000e-02 6.400000e-01 2.166667e-09 8.250000e-01 -1.375000e-01 -2.513889e+00 5.500000e-01 3.158333e+00 4.166667e-02 
3.550000e-01 4.291667e-02 7.377778e-01 1.055556e-09 9.416667e-01 -4.819444e-01 2.083333e-01 2.833333e-01 2.902778e+00 -3.055556e-02 
2.450000e-01 4.708333e-02 7.111111e-01 2.055556e-09 9.083333e-01 -1.170833e+00 -2.708333e+00 4.166667e-01 3.286111e+00 -4.166667e-02 
3.250000e-01 5.041667e-02 6.666667e-01 1.277778e-09 8.916667e-01 -2.236111e-01 -7.638889e-01 8.333333e-02 4.436111e+00 3.611111e-02 
3.650000e-01 4.375000e-02 6.488889e-01 2.833333e-09 1.025000e+00 -3.097222e-01 -1.805556e-01 3.833333e-01 2.263889e+00 8.333333e-03 
2.650000e-01 4.125000e-02 7.200000e-01 1.722222e-09 1.058333e+00 -6.541667e-01 -1.541667e+00 1.166667e-01 2.647222e+00 4.722222e-02 
3.350000e-01 4.958333e-02 7.022222e-01 2.944444e-09 8.583333e-01 -8.263889e-01 1.388889e-02 4.833333e-01 4.308333e+00 2.777778e-03 
3.450000e-01 5.125000e-02 6.133333e-01 1.166667e-09 9.250000e-01 3.472222e-02 -1.930556e+00 3.166667e-01 3.030556e+00 -4.722222e-02 
2.625000e-01 4.516667e-02 6.761111e-01 2.255556e-09 9.513889e-01 -1.083333e+00 4.166667e-02 9.250000e-02 3.038889e+00 1.166667e-02 
3.025000e-01 5.083333e-02 7.316667e-01 1.944444e-09 9.819444e-01 -7.500000e-01 -7.083333e-01 8.750000e-02 2.650000e+00 8.333333e-03 
3.375000e-01 4.750000e-02 6.594444e-01 2.033333e-09 9.986111e-01 -1.183333e+00 -1.250000e-01 1.275000e-01 3.505556e+00 -2.166667e-02 
2.775000e-01 4.983333e-02 6.927778e-01 2.388889e-09 9.958333e-01 -1.150000e+00 -2.083333e-01 6.750000e-02 3.427778e+00 -1.666667e-03 
3.075000e-01 4.850000e-02 6.650000e-01 2.166667e-09 9.541667e-01 -8.500000e-01 -7.916667e-01 1.425000e-01 2.883333e+00 2.500000e-02 
3.275000e-01 4.616667e-02 7.261111e-01 1.722222e-09 9.736111e-01 -9.833333e-01 3.750000e-01 1.025000e-01 2.727778e+00 -1.833333e-02 
2.725000e-01 4.783333e-02 7.094444e-01 2.122222e-09 9.680556e-01 -1.250000e+00 -8.750000e-01 1.225000e-01 2.961111e+00 -2.500000e-02 
3.125000e-01 4.916667e-02 6.816667e-01 1.811111e-09 9.652778e-01 -8.833333e-01 -4.166667e-02 7.250000e-02 3.661111e+00 2.166667e-02 
3.325000e-01 4.650000e-02 6.705556e-01 2.433333e-09 9.875000e-01 -9.166667e-01 2.083333e-01 1.175000e-01 2.338889e+00 5.000000e-03 
2.825000e-01 4.550000e-02 7.150000e-01 1.988889e-09 9.930556e-01 -1.050000e+00 -3.750000e-01 7.750000e-02 2.572222e+00 2.833333e-02 
3.175000e-01 4.883333e-02 7.038889e-01 2.477778e-09 9.597222e-01 -1.116667e+00 2.916667e-01 1.325000e-01 3.583333e+00 1.666667e-03 
3.225000e-01 4.950000e-02 6.483333e-01 1.766667e-09 9.708333e-01 -7.833333e-01 -5.416667e-01 1.075000e-01 2.805556e+00 -2.833333e-02 


