# cosmologies
# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas
2.48000000e-01 4.37500000e-02 6.88000000e-01 1.90000000e-09 9.64000000e-01 -1.09000000e+00 -6.40000000e-01 1.27500000e-01 3.04600000e+00 0.00000000e+00
2.64000000e-01 4.52500000e-02 6.28000000e-01 2.14000000e-09 9.40000000e-01 -7.90000000e-01 2.00000000e-01 1.12500000e-01 3.04600000e+00 0.00000000e+00
2.80000000e-01 5.27500000e-02 7.24000000e-01 2.46000000e-09 9.88000000e-01 -9.70000000e-01 -1.60000000e-01 5.25000000e-02 3.04600000e+00 0.00000000e+00
2.96000000e-01 4.22500000e-02 6.52000000e-01 2.30000000e-09 9.48000000e-01 -1.27000000e+00 -4.00000000e-02 2.25000000e-02 3.04600000e+00 0.00000000e+00
3.12000000e-01 5.12500000e-02 6.40000000e-01 1.82000000e-09 9.72000000e-01 -1.15000000e+00 8.00000000e-02 7.50000000e-03 3.04600000e+00 0.00000000e+00
3.28000000e-01 4.97500000e-02 7.00000000e-01 2.06000000e-09 9.24000000e-01 -8.50000000e-01 4.40000000e-01 8.25000000e-02 3.04600000e+00 0.00000000e+00
3.44000000e-01 5.42500000e-02 6.64000000e-01 1.74000000e-09 9.56000000e-01 -1.03000000e+00 -2.80000000e-01 9.75000000e-02 3.04600000e+00 0.00000000e+00
3.60000000e-01 4.82500000e-02 6.16000000e-01 2.38000000e-09 9.80000000e-01 -7.30000000e-01 -5.20000000e-01 6.75000000e-02 3.04600000e+00 0.00000000e+00
3.76000000e-01 4.07500000e-02 7.12000000e-01 1.98000000e-09 9.32000000e-01 -9.10000000e-01 -4.00000000e-01 3.75000000e-02 3.04600000e+00 0.00000000e+00
3.92000000e-01 4.67500000e-02 6.76000000e-01 2.22000000e-09 9.96000000e-01 -1.21000000e+00 3.20000000e-01 1.42500000e-01 3.04600000e+00 0.00000000e+00



