# cosmologies
# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas
2.64500000e-01 4.65000000e-02 6.98500000e-01 1.90000000e-09 9.77500000e-01 -1.09000000e+00 -6.40000000e-01 1.36500000e-01 3.04600000e+00 0.00000000e+00
2.73500000e-01 4.71000000e-02 6.53500000e-01 2.14000000e-09 9.62500000e-01 -7.90000000e-01 2.00000000e-01 1.27500000e-01 3.04600000e+00 0.00000000e+00
2.82500000e-01 5.01000000e-02 7.25500000e-01 2.46000000e-09 9.92500000e-01 -9.70000000e-01 -1.60000000e-01 9.15000000e-02 3.04600000e+00 0.00000000e+00
2.91500000e-01 4.59000000e-02 6.71500000e-01 2.30000000e-09 9.67500000e-01 -1.27000000e+00 -4.00000000e-02 7.35000000e-02 3.04600000e+00 0.00000000e+00
3.00500000e-01 4.95000000e-02 6.62500000e-01 1.82000000e-09 9.82500000e-01 -1.15000000e+00 8.00000000e-02 6.45000000e-02 3.04600000e+00 0.00000000e+00
3.09500000e-01 4.89000000e-02 7.07500000e-01 2.06000000e-09 9.52500000e-01 -8.50000000e-01 4.40000000e-01 1.09500000e-01 3.04600000e+00 0.00000000e+00
3.18500000e-01 5.07000000e-02 6.80500000e-01 1.74000000e-09 9.72500000e-01 -1.03000000e+00 -2.80000000e-01 1.18500000e-01 3.04600000e+00 0.00000000e+00
3.27500000e-01 4.83000000e-02 6.44500000e-01 2.38000000e-09 9.87500000e-01 -7.30000000e-01 -5.20000000e-01 1.00500000e-01 3.04600000e+00 0.00000000e+00
3.36500000e-01 4.53000000e-02 7.16500000e-01 1.98000000e-09 9.57500000e-01 -9.10000000e-01 -4.00000000e-01 8.25000000e-02 3.04600000e+00 0.00000000e+00
3.45500000e-01 4.77000000e-02 6.89500000e-01 2.22000000e-09 9.97500000e-01 -1.21000000e+00 3.20000000e-01 1.45500000e-01 3.04600000e+00 0.00000000e+00

