# cosmologies: line 3: reference, lines 4-103: single-parameter dependence
# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas
3.100000e-01 4.8000000e-02 6.800000e-01 2.10000000e-09 9.700000e-01 -1.0000000e+00 0.00000000 1.00000e-01 3.0800000e+00 0.00000000e+00
2.29000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
2.47000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
2.65000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
2.83000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.01000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.19000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.37000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.55000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.73000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.91000000e-01 4.80000000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.07500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.22500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.37500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.52500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.67500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.82500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 4.97500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 5.12500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
3.10000000e-01 5.27500000e-02 6.80000000e-01 2.10000000e-09 9.70000000e-01 -1.00000000e+00 0.00000000e+00 1.00000000e-01 3.08000000e+00 0.00000000e+00
