# Redshift z = 0.2
# k  f_p+f
6.283190e-03 9.940642e-01
9.684582e-03 9.885356e-01
1.375296e-02 1.001631e+00
1.618423e-02 1.000010e+00
1.930276e-02 9.951174e-01
2.107065e-02 9.859987e-01
2.337122e-02 1.019887e+00
2.648581e-02 1.009109e+00
2.878913e-02 9.875380e-01
3.185264e-02 1.008384e+00
3.420152e-02 9.861972e-01
3.681791e-02 9.858750e-01
3.945357e-02 1.036307e+00
4.177720e-02 1.028215e+00
4.479300e-02 1.000499e+00
4.718642e-02 1.004045e+00
5.021032e-02 9.922998e-01
5.320812e-02 1.024222e+00
5.613617e-02 1.002411e+00
5.904246e-02 9.698352e-01
6.256393e-02 9.806479e-01
6.580554e-02 1.010582e+00
6.927112e-02 9.937368e-01
7.290181e-02 1.006542e+00
7.677718e-02 1.021215e+00
8.061877e-02 1.020481e+00
8.457325e-02 9.735598e-01
8.874486e-02 1.012462e+00
9.276028e-02 9.970877e-01
9.722523e-02 9.845881e-01
1.018996e-01 9.937477e-01
1.066395e-01 1.009955e+00
1.114475e-01 1.002273e+00
1.164822e-01 1.019256e+00
1.219922e-01 9.822059e-01
1.276859e-01 9.784130e-01
1.335873e-01 1.019956e+00
1.398043e-01 1.016278e+00
1.461932e-01 9.976735e-01
1.528335e-01 9.934462e-01
1.598075e-01 1.006841e+00
1.671427e-01 9.925370e-01
1.747861e-01 9.905361e-01
1.827815e-01 9.994790e-01
1.912065e-01 9.985984e-01
1.999030e-01 1.001177e+00
2.090017e-01 1.003025e+00
2.185411e-01 1.006899e+00
2.286056e-01 1.002966e+00
2.392343e-01 9.981909e-01
2.502727e-01 9.952828e-01
2.617474e-01 1.003238e+00
2.737476e-01 1.002697e+00
2.862212e-01 9.984379e-01
2.993059e-01 9.974551e-01
3.129600e-01 1.000722e+00
3.272824e-01 1.009130e+00
3.423208e-01 9.968850e-01
3.579200e-01 9.995480e-01
3.742168e-01 1.004264e+00
3.913596e-01 9.961119e-01
4.092757e-01 1.001763e+00
4.279739e-01 9.936305e-01
4.475163e-01 1.002124e+00
4.679746e-01 9.971352e-01
4.893414e-01 1.000671e+00
5.116862e-01 9.969441e-01
5.350809e-01 1.000059e+00
5.595328e-01 1.002461e+00
5.851135e-01 9.997238e-01
6.118845e-01 1.000636e+00
6.398675e-01 1.001567e+00
6.690947e-01 1.001204e+00
6.996717e-01 9.988806e-01
7.316421e-01 1.000160e+00
7.650748e-01 9.996062e-01
8.000554e-01 1.000951e+00
8.366295e-01 1.001896e+00
8.749004e-01 1.002931e+00
9.148869e-01 1.001408e+00
9.566807e-01 1.002481e+00
1.000417e+00 1.001707e+00
1.046149e+00 1.001007e+00
1.093955e+00 1.001207e+00
1.143945e+00 1.002354e+00
1.196231e+00 1.000959e+00
1.250907e+00 1.001350e+00
1.308081e+00 1.001498e+00
1.367871e+00 1.001997e+00
1.430392e+00 1.000630e+00
1.495755e+00 1.000235e+00
1.564116e+00 1.000791e+00
1.635608e+00 9.998729e-01
1.710356e+00 1.000526e+00
1.788538e+00 1.000350e+00
1.870290e+00 9.999993e-01
1.955759e+00 1.000119e+00
2.045147e+00 1.000145e+00
2.138624e+00 9.996695e-01
2.236366e+00 9.999752e-01
2.338595e+00 9.997368e-01
2.445486e+00 1.000281e+00
2.557238e+00 1.000144e+00
2.674120e+00 1.000396e+00
2.796346e+00 1.000663e+00
2.924151e+00 1.000722e+00
3.057810e+00 1.000540e+00
3.197566e+00 1.000319e+00
3.343702e+00 1.000465e+00
3.496525e+00 1.000254e+00
3.656344e+00 1.000302e+00
3.823460e+00 1.000205e+00
3.998207e+00 9.999121e-01
4.180943e+00 1.000059e+00
4.372039e+00 1.000162e+00
4.571870e+00 1.000022e+00
4.780828e+00 9.999565e-01
4.999334e+00 1.000157e+00
5.227826e+00 1.000085e+00
5.466768e+00 1.000113e+00
5.716628e+00 9.998783e-01
5.977908e+00 1.000065e+00
6.251135e+00 1.000081e+00
6.536846e+00 1.000205e+00
6.835613e+00 1.000246e+00
7.148038e+00 1.000183e+00
7.474736e+00 1.000213e+00
7.816370e+00 1.000212e+00
8.173626e+00 1.000108e+00
8.547206e+00 1.000177e+00
8.937852e+00 1.000258e+00
9.346362e+00 1.000292e+00
9.773544e+00 1.000302e+00
1.022024e+01 1.000358e+00
1.068736e+01 1.000378e+00
1.117583e+01 1.000335e+00
1.168663e+01 1.000370e+00
1.222077e+01 1.000458e+00
1.277934e+01 1.000408e+00
1.336340e+01 1.000407e+00
1.397418e+01 1.000407e+00
1.461288e+01 1.000318e+00
1.528076e+01 1.000292e+00
1.597917e+01 1.000268e+00
1.670951e+01 1.000242e+00
1.747322e+01 1.000151e+00
1.827184e+01 1.000080e+00
1.910531e+01 1.000070e+00
1.996953e+01 1.000035e+00
2.088098e+01 9.999625e-01
2.183359e+01 9.998276e-01
2.282898e+01 9.997587e-01
2.386851e+01 9.997239e-01
2.495291e+01 9.996476e-01
2.608062e+01 9.996229e-01
2.724926e+01 9.996770e-01
2.849202e+01 9.998508e-01
2.977330e+01 9.998337e-01
3.107969e+01 9.998895e-01
3.229959e+01 9.995308e-01
