# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.379422 0.000000 2395.642915
-1.560025 3.356288 0.000000 2271.371489
-1.520288 3.325670 0.000000 2116.750899
-1.480552 3.291223 0.000000 1955.341381
-1.440816 3.253711 0.000000 1793.539575
-1.401080 3.204691 0.000000 1602.102228
-1.361343 3.165579 0.000000 1464.125247
-1.321607 3.123863 0.000000 1330.034067
-1.281871 3.082884 0.000000 1210.274499
-1.242135 3.050466 0.000000 1123.223364
-1.202399 3.018209 0.000000 1042.819071
-1.162662 2.982073 0.000000 959.561169
-1.122926 2.936455 0.000000 863.881653
-1.083190 2.887416 0.000000 771.641644
-1.043454 2.819894 0.000000 660.531074
-1.003717 2.748678 0.000000 560.631403
-0.963981 2.673877 0.000000 471.929194
-0.924245 2.618778 0.000000 415.697371
-0.884509 2.576584 0.000000 377.209983
-0.844773 2.519764 0.000000 330.950642
-0.805036 2.446020 0.000000 279.266746
-0.765300 2.365214 0.000000 231.853535
-0.725564 2.297837 0.000000 198.534794
-0.685828 2.239987 0.000000 173.774433
-0.646091 2.165871 0.000003 146.509026
-0.606355 2.087404 0.000000 122.293356
-0.566619 2.019194 0.000000 104.518587
-0.526883 1.941792 0.000000 87.456443
-0.487147 1.868453 0.000000 73.867258
-0.447410 1.794947 0.000000 62.365788
-0.407674 1.717636 0.000000 52.195776
-0.367938 1.643449 0.000000 43.999586
-0.328202 1.568533 0.000000 37.028156
-0.288465 1.489223 0.000000 30.847656
-0.248729 1.413277 0.000000 25.898643
-0.208993 1.338195 0.000000 21.786818
-0.169257 1.263362 0.000000 18.338394
-0.129520 1.188318 0.000000 15.428278
-0.089784 1.113268 0.000000 12.979767
-0.050048 1.040127 0.000000 10.967964
-0.010312 0.966424 0.000000 9.256000
0.029424 0.893365 0.000000 7.822832
0.069161 0.822534 0.000000 6.645575
0.108897 0.751999 0.000001 5.649339
0.148633 0.682533 0.000000 4.814288
0.188369 0.614117 0.000001 4.112598
0.228106 0.548141 0.000001 3.532972
0.267842 0.482949 0.000000 3.040522
0.307578 0.418177 0.000001 2.619240
0.347314 0.354244 0.000001 2.260692
0.387050 0.293047 0.000001 1.963566
0.426787 0.231510 0.000001 1.704150
0.466523 0.172968 0.000001 1.489245
0.506259 0.116217 0.000001 1.306815
0.545995 0.060270 0.000001 1.148860
0.585732 0.003220 0.000001 1.007435
0.625468 -0.052224 0.000001 0.886692
0.665204 -0.107963 0.000002 0.779888
0.704940 -0.164252 0.000002 0.685081
0.744677 -0.220397 0.000003 0.602001
0.784413 -0.275293 0.000003 0.530517
0.824149 -0.333607 0.000005 0.463855
0.863885 -0.391780 0.000005 0.405704
0.903621 -0.450173 0.000006 0.354661
