# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.163728 0.000000 14578.983750
-1.560025 4.152925 0.000000 14220.822819
-1.520288 4.133454 0.000000 13597.309227
-1.480552 4.110096 0.000000 12885.320387
-1.440816 4.085916 0.000000 12187.502380
-1.401080 4.039198 0.000000 10944.546235
-1.361343 4.015517 0.000000 10363.737693
-1.321607 3.987232 0.000000 9710.279066
-1.281871 3.957963 0.000000 9077.410939
-1.242135 3.939833 0.000000 8706.271321
-1.202399 3.916107 0.000000 8243.402735
-1.162662 3.885884 0.000000 7689.239032
-1.122926 3.835343 0.000001 6844.497748
-1.083190 3.795120 0.000000 6239.058612
-1.043454 3.732791 0.000000 5404.936460
-1.003717 3.681357 0.000000 4801.271468
-0.963981 3.623076 0.000000 4198.317629
-0.924245 3.587688 0.000001 3869.778199
-0.884509 3.551514 0.000000 3560.519278
-0.844773 3.486787 0.000000 3067.508846
-0.805036 3.428129 0.000000 2679.956940
-0.765300 3.379547 0.000000 2396.327544
-0.725564 3.330880 0.000000 2142.296022
-0.685828 3.274728 0.000000 1882.468415
-0.646091 3.222071 0.000000 1667.516574
-0.606355 3.175199 0.000000 1496.917773
-0.566619 3.118708 0.000000 1314.338778
-0.526883 3.074224 0.000000 1186.377074
-0.487147 3.022865 0.000000 1054.057270
-0.447410 2.977482 0.000000 949.470413
-0.407674 2.933522 0.000000 858.067534
-0.367938 2.889661 0.000000 775.639464
-0.328202 2.846671 0.000000 702.538342
-0.288465 2.805265 0.000001 638.650761
-0.248729 2.763944 0.000001 580.687733
-0.208993 2.724514 0.000001 530.288528
-0.169257 2.686041 0.000001 485.332258
-0.129520 2.647840 0.000001 444.465810
-0.089784 2.608806 0.000001 406.259803
-0.050048 2.569919 0.000001 371.464487
-0.010312 2.529813 0.000001 338.697040
0.029424 2.489052 0.000001 308.354527
0.069161 2.446998 0.000001 279.895428
0.108897 2.402816 0.000001 252.821480
0.148633 2.356373 0.000001 227.180344
0.188369 2.306831 0.000001 202.688417
0.228106 2.255724 0.000002 180.185521
0.267842 2.200954 0.000002 158.836582
0.307578 2.144034 0.000002 139.325499
0.347314 2.084061 0.000002 121.354827
0.387050 2.022054 0.000002 105.208080
0.426787 1.957553 0.000002 90.687766
0.466523 1.890789 0.000002 77.765022
0.506259 1.822359 0.000002 66.428465
0.545995 1.752767 0.000002 56.592916
0.585732 1.681804 0.000002 48.061676
0.625468 1.609170 0.000003 40.659661
0.665204 1.535373 0.000009 34.304536
0.704940 1.460950 0.000009 28.902106
0.744677 1.385332 0.000009 24.283469
0.784413 1.309055 0.000015 20.371405
0.824149 1.232909 0.000016 17.095163
0.863885 1.154596 0.000020 14.274119
0.903621 1.075618 0.000023 11.900532
