# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.565911 0.000000 3680.532377
-1.560025 3.544176 0.000000 3500.868670
-1.520288 3.514567 0.000000 3270.146405
-1.480552 3.481094 0.000000 3027.567054
-1.440816 3.445527 0.000000 2789.499567
-1.401080 3.397609 0.000000 2498.095920
-1.361343 3.363186 0.000000 2307.731104
-1.321607 3.328461 0.000000 2130.396767
-1.281871 3.294887 0.000000 1971.909742
-1.242135 3.270280 0.000000 1863.288320
-1.202399 3.242778 0.000000 1748.952666
-1.162662 3.206572 0.000000 1609.056870
-1.122926 3.154286 0.000000 1426.543779
-1.083190 3.097588 0.000000 1251.952073
-1.043454 3.023841 0.000000 1056.429761
-1.003717 2.958130 0.000000 908.092293
-0.963981 2.898259 0.000000 791.148897
-0.924245 2.859713 0.000000 723.956482
-0.884509 2.815454 0.000000 653.812813
-0.844773 2.740378 0.000000 550.019310
-0.805036 2.659929 0.000000 457.013011
-0.765300 2.599159 0.000000 397.336490
-0.725564 2.545811 0.000000 351.407134
-0.685828 2.472828 0.000000 297.048385
-0.646091 2.397100 0.000000 249.516727
-0.606355 2.335983 0.000000 216.761814
-0.566619 2.263161 0.000000 183.299203
-0.526883 2.187958 0.000000 154.154967
-0.487147 2.124108 0.000000 133.078551
-0.447410 2.050105 0.000000 112.228854
-0.407674 1.980248 0.000000 95.553712
-0.367938 1.909628 0.000001 81.213245
-0.328202 1.840845 0.000000 69.317769
-0.288465 1.767396 0.000000 58.532327
-0.248729 1.698721 0.000000 49.971311
-0.208993 1.630237 0.000000 42.681155
-0.169257 1.562816 0.000000 36.543898
-0.129520 1.496083 0.000000 31.338802
-0.089784 1.430283 0.000000 26.932886
-0.050048 1.364438 0.000000 23.143938
-0.010312 1.301186 0.000000 20.007140
0.029424 1.239186 0.000001 17.345428
0.069161 1.178121 0.000000 15.070221
0.108897 1.118395 0.000001 13.133898
0.148633 1.060270 0.000001 11.488621
0.188369 1.003656 0.000001 10.084519
0.228106 0.948066 0.000001 8.872865
0.267842 0.894078 0.000001 7.835673
0.307578 0.840687 0.000001 6.929227
0.347314 0.788825 0.000001 6.149258
0.387050 0.736594 0.000001 5.452445
0.426787 0.685796 0.000001 4.850580
0.466523 0.635220 0.000001 4.317351
0.506259 0.584329 0.000002 3.839947
0.545995 0.532560 0.000001 3.408449
0.585732 0.480144 0.000002 3.020921
0.625468 0.426136 0.000002 2.667665
0.665204 0.370314 0.000002 2.345894
0.704940 0.312654 0.000002 2.054230
0.744677 0.252418 0.000002 1.788185
0.784413 0.189951 0.000002 1.548627
0.824149 0.124909 0.000003 1.333223
0.863885 0.057995 0.000003 1.142850
0.903621 -0.011207 0.000003 0.974509
