# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.177553 0.000001 15050.489210
-1.560025 4.167130 0.000001 14693.597552
-1.520288 4.147955 0.000002 14058.879475
-1.480552 4.124843 0.000001 13330.275443
-1.440816 4.101025 0.000002 12618.849506
-1.401080 4.054278 0.000002 11331.151248
-1.361343 4.030519 0.000001 10727.933381
-1.321607 4.001844 0.000002 10042.458221
-1.281871 3.971731 0.000001 9369.744318
-1.242135 3.952452 0.000001 8962.930625
-1.202399 3.928083 0.000001 8473.837300
-1.162662 3.897748 0.000001 7902.145084
-1.122926 3.848151 0.000002 7049.306369
-1.083190 3.809966 0.000002 6455.962015
-1.043454 3.749152 0.000002 5612.391690
-1.003717 3.698415 0.000001 4993.583252
-0.963981 3.638378 0.000002 4348.846320
-0.924245 3.601038 0.000001 3990.565667
-0.884509 3.565368 0.000002 3675.907460
-0.844773 3.503063 0.000003 3184.609316
-0.805036 3.445893 0.000002 2791.828906
-0.765300 3.396357 0.000001 2490.886967
-0.725564 3.347582 0.000003 2226.259369
-0.685828 3.292831 0.000002 1962.576613
-0.646091 3.241427 0.000002 1743.500964
-0.606355 3.193867 0.000002 1562.652113
-0.566619 3.138563 0.000002 1375.808254
-0.526883 3.094948 0.000002 1244.352160
-0.487147 3.043815 0.000002 1106.139235
-0.447410 2.999719 0.000002 999.343606
-0.407674 2.956671 0.000002 905.037033
-0.367938 2.913030 0.000002 818.515483
-0.328202 2.871469 0.000003 743.812054
-0.288465 2.830992 0.000003 677.616110
-0.248729 2.791026 0.000003 618.041401
-0.208993 2.752493 0.000003 565.568624
-0.169257 2.714985 0.000004 518.771693
-0.129520 2.678569 0.000004 477.044928
-0.089784 2.639842 0.000005 436.346935
-0.050048 2.600976 0.000004 398.994170
-0.010312 2.560869 0.000005 363.796074
0.029424 2.519818 0.000006 330.981728
0.069161 2.478522 0.000006 300.959089
0.108897 2.434923 0.000006 272.212417
0.148633 2.387942 0.000007 244.301442
0.188369 2.338675 0.000008 218.100740
0.228106 2.287954 0.000008 194.059814
0.267842 2.234281 0.000010 171.497535
0.307578 2.178145 0.000009 150.704209
0.347314 2.119277 0.000012 131.597931
0.387050 2.058673 0.000012 114.457669
0.426787 1.996737 0.000012 99.245317
0.466523 1.930014 0.000016 85.109297
0.506259 1.863332 0.000013 72.996673
0.545995 1.794666 0.000012 62.321525
0.585732 1.723593 0.000015 52.912637
0.625468 1.649766 0.000018 44.640031
0.665204 1.576293 0.000028 37.690124
0.704940 1.500161 0.000039 31.627951
0.744677 1.423881 0.000043 26.532767
0.784413 1.348156 0.000052 22.286187
0.824149 1.268307 0.000078 18.540762
0.863885 1.191025 0.000083 15.517972
0.903621 1.112721 0.000111 12.955860
