# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.534760 0.000000 3425.784350
-1.560025 3.513664 0.000000 3263.346750
-1.520288 3.484446 0.000000 3051.023033
-1.480552 3.450884 0.000000 2824.124107
-1.440816 3.414697 0.000000 2598.342621
-1.401080 3.365848 0.000000 2321.921176
-1.361343 3.329349 0.000000 2134.756393
-1.321607 3.291976 0.000000 1958.732519
-1.281871 3.256074 0.000000 1803.321378
-1.242135 3.230124 0.000000 1698.729271
-1.202399 3.203318 0.000000 1597.044489
-1.162662 3.170911 0.000000 1482.213008
-1.122926 3.124745 0.000000 1332.735669
-1.083190 3.073741 0.000000 1185.060705
-1.043454 3.002536 0.000000 1005.855709
-1.003717 2.932554 0.000000 856.158058
-0.963981 2.864062 0.000000 731.242714
-0.924245 2.821302 0.000000 662.676191
-0.884509 2.784054 0.000000 608.210061
-0.844773 2.720983 0.000000 525.996187
-0.805036 2.642033 0.000000 438.563487
-0.765300 2.569673 0.000000 371.255189
-0.725564 2.515057 0.000000 327.383782
-0.685828 2.455202 0.000000 285.234140
-0.646091 2.377872 0.000000 238.710524
-0.606355 2.310408 0.000000 204.365561
-0.566619 2.245414 0.000000 175.959733
-0.526883 2.168556 0.000000 147.419647
-0.487147 2.105177 0.000000 127.401950
-0.447410 2.033403 0.000000 107.994869
-0.407674 1.963364 0.000000 91.910198
-0.367938 1.894097 0.000001 78.360215
-0.328202 1.826056 0.000000 66.997010
-0.288465 1.753347 0.000000 56.669160
-0.248729 1.685389 0.000000 48.460489
-0.208993 1.617594 0.000000 41.456560
-0.169257 1.550763 0.000000 35.543653
-0.129520 1.484579 0.000000 30.519591
-0.089784 1.419392 0.000000 26.265842
-0.050048 1.354811 0.000000 22.636521
-0.010312 1.291284 0.000000 19.556140
0.029424 1.229948 0.000001 16.980340
0.069161 1.169318 0.000000 14.767840
0.108897 1.110078 0.000001 12.884758
0.148633 1.052215 0.000001 11.277501
0.188369 0.996274 0.000001 9.914541
0.228106 0.941264 0.000001 8.734978
0.267842 0.887519 0.000001 7.718216
0.307578 0.834765 0.000001 6.835389
0.347314 0.783447 0.000001 6.073586
0.387050 0.732708 0.000001 5.403872
0.426787 0.682579 0.000001 4.814785
0.466523 0.632525 0.000001 4.290634
0.506259 0.582657 0.000001 3.825192
0.545995 0.531936 0.000002 3.403552
0.585732 0.481525 0.000002 3.030547
0.625468 0.428985 0.000002 2.685220
0.665204 0.374503 0.000002 2.368633
0.704940 0.318908 0.000002 2.084021
0.744677 0.261414 0.000003 1.825609
0.784413 0.200982 0.000002 1.588460
0.824149 0.138595 0.000003 1.375904
0.863885 0.073697 0.000003 1.184924
0.903621 0.006872 0.000003 1.015932
