# mean(lg_P), var(lg_P), mode(P)
4.065413 0.000000 11625.528251
4.043236 0.000000 11046.775420
4.012179 0.000000 10284.395224
3.976495 0.000000 9473.155948
3.939796 0.000000 8705.534342
3.881223 0.000000 7607.163594
3.844494 0.000000 6990.267932
3.803810 0.000000 6365.171783
3.760276 0.000000 5758.047681
3.729666 0.000000 5366.191213
3.696990 0.000000 4977.254529
3.660715 0.000000 4578.405532
3.608366 0.000000 4058.498759
3.565060 0.000000 3673.327581
3.497495 0.000000 3144.087571
3.432923 0.000000 2709.706761
3.356778 0.000000 2273.929545
3.305623 0.000000 2021.263196
3.263718 0.000000 1835.343264
3.203921 0.000000 1599.266216
3.139364 0.000000 1378.363224
3.072269 0.000000 1181.049401
3.008067 0.000002 1018.739946
2.951091 0.000000 893.490605
2.891355 0.000013 778.620847
2.827440 0.000001 672.108062
2.763781 0.000000 580.470538
2.705522 0.000001 507.598085
2.644238 0.000001 440.794440
2.587874 0.000000 387.144909
2.529279 0.000000 338.281293
2.475073 0.000000 298.588291
2.418773 0.000003 262.280793
2.362831 0.000001 230.583526
2.311029 0.000001 204.657502
2.259174 0.000001 181.623187
2.210246 0.000001 162.271801
2.162306 0.000001 145.312848
2.114627 0.000001 130.203952
2.068436 0.000004 117.064929
2.024582 0.000003 105.821909
1.981685 0.000002 95.869651
1.937702 0.000004 86.634988
1.893698 0.000004 78.286730
1.849274 0.000005 70.674628
1.805941 0.000004 63.963390
1.760893 0.000005 57.661055
1.714309 0.000008 51.795242
1.667029 0.000006 46.453043
1.616927 0.000007 41.391323
1.563035 0.000010 36.560451
1.507467 0.000010 32.169572
1.452318 0.000007 28.333583
1.392071 0.000005 24.663798
1.329064 0.000005 21.332985
1.262794 0.000007 18.313812
1.197319 0.000006 15.750913
1.126723 0.000005 13.387839
1.053169 0.000007 11.301943
0.978604 0.000008 9.518901
0.904963 0.000007 8.034296
0.829128 0.000007 6.747035
0.751189 0.000007 5.638626
0.672421 0.000007 4.703327
