# mean(lg_P), var(lg_P), mode(P)
3.315689 0.000000 2068.656912
3.283185 0.000000 1919.486329
3.243222 0.000000 1750.739816
3.198217 0.000000 1578.396320
3.151098 0.000000 1416.110752
3.092343 0.000000 1236.921058
3.043874 0.000000 1106.301037
2.995608 0.000000 989.937519
2.947776 0.000000 886.697456
2.910671 0.000000 814.086365
2.875314 0.000000 750.435533
2.836778 0.000000 686.717307
2.787928 0.000000 613.659651
2.732871 0.000000 540.593131
2.660460 0.000001 457.571032
2.575534 0.000000 376.299381
2.492697 0.000000 310.954573
2.435064 0.000000 272.310035
2.392267 0.000000 246.755496
2.335791 0.000000 216.665667
2.252966 0.000000 179.045989
2.163503 0.000000 145.714351
2.092088 0.000000 123.619567
2.033816 0.000000 108.097286
1.955315 0.000006 90.219898
1.868605 0.000001 73.893016
1.798365 0.000000 62.858564
1.717805 0.000001 52.215930
1.640322 0.000000 43.683828
1.561610 0.000000 36.442569
1.479172 0.000000 30.141900
1.400129 0.000001 25.126212
1.321059 0.000001 20.943851
1.235638 0.000000 17.204326
1.155700 0.000000 14.311957
1.075273 0.000000 11.892481
0.992353 0.000001 9.825418
0.910718 0.000000 8.141738
0.829651 0.000000 6.755382
0.748103 0.000001 5.598883
0.667346 0.000000 4.648842
0.586124 0.000000 3.855875
0.506535 0.000001 3.210210
0.426448 0.000001 2.669605
0.348773 0.000000 2.232398
0.269073 0.000001 1.858108
0.191206 0.000001 1.553119
0.115632 0.000000 1.305062
0.039635 0.000003 1.095542
-0.033610 0.000003 0.925515
-0.107444 0.000002 0.780822
-0.177055 0.000005 0.665172
-0.256765 0.000002 0.553644
-0.324249 0.000001 0.473967
-0.392388 0.000001 0.405144
-0.460544 0.000002 0.346298
-0.525717 0.000002 0.298043
-0.590560 0.000003 0.256705
-0.652164 0.000007 0.222751
-0.715046 0.000006 0.192726
-0.779026 0.000004 0.166328
-0.838100 0.000009 0.145171
-0.897537 0.000008 0.126603
-0.955700 0.000008 0.110734
