# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.545714 0.000000 3513.289148
-1.560025 3.522163 0.000000 3327.845401
-1.520288 3.490679 0.000000 3095.131473
-1.480552 3.455151 0.000000 2852.008757
-1.440816 3.417099 0.000000 2612.756360
-1.401080 3.365561 0.000000 2320.387990
-1.361343 3.325643 0.000000 2116.618997
-1.321607 3.284196 0.000000 1923.958283
-1.281871 3.241678 0.000000 1744.527285
-1.242135 3.208780 0.000000 1617.258096
-1.202399 3.175826 0.000000 1499.083866
-1.162662 3.138645 0.000000 1376.083198
-1.122926 3.091246 0.000000 1233.801636
-1.083190 3.043302 0.000000 1104.845766
-1.043454 2.975958 0.000000 946.143674
-1.003717 2.906113 0.000000 805.587457
-0.963981 2.829865 0.000000 675.872311
-0.924245 2.774904 0.000000 595.529565
-0.884509 2.731233 0.000000 538.557497
-0.844773 2.674281 0.000000 472.367344
-0.805036 2.602798 0.000000 400.679274
-0.765300 2.524459 0.000000 334.548226
-0.725564 2.456271 0.000000 285.936679
-0.685828 2.397897 0.000000 249.974949
-0.646091 2.328153 0.000004 212.885110
-0.606355 2.250505 0.000001 178.034058
-0.566619 2.182263 0.000000 152.146699
-0.526883 2.107842 0.000000 128.186267
-0.487147 2.038418 0.000000 109.249111
-0.447410 1.966934 0.000000 92.668683
-0.407674 1.892686 0.000000 78.106251
-0.367938 1.821821 0.000000 66.346884
-0.328202 1.751457 0.000001 56.422910
-0.288465 1.675845 0.000000 47.407119
-0.248729 1.605578 0.000000 40.325321
-0.208993 1.535341 0.000000 34.303643
-0.169257 1.464574 0.000000 29.145636
-0.129520 1.395838 0.000000 24.879238
-0.089784 1.327841 0.000000 21.273555
-0.050048 1.259453 0.000000 18.174058
-0.010312 1.193377 0.000000 15.609066
0.029424 1.128898 0.000000 13.455430
0.069161 1.064373 0.000000 11.597719
0.108897 1.001626 0.000000 10.037493
0.148633 0.940835 0.000000 8.726381
0.188369 0.881385 0.000000 7.609984
0.228106 0.822672 0.000001 6.647690
0.267842 0.765836 0.000001 5.832233
0.307578 0.710583 0.000001 5.135478
0.347314 0.656595 0.000001 4.535165
0.387050 0.603612 0.000001 4.014304
0.426787 0.552385 0.000002 3.567638
0.466523 0.498168 0.000001 3.148944
0.506259 0.447455 0.000001 2.801899
0.545995 0.395203 0.000001 2.484282
0.585732 0.344039 0.000001 2.208185
0.625468 0.292225 0.000001 1.959844
0.665204 0.239074 0.000002 1.734079
0.704940 0.184648 0.000003 1.529825
0.744677 0.128720 0.000003 1.344973
0.784413 0.071341 0.000003 1.178513
0.824149 0.011950 0.000004 1.027878
0.863885 -0.050598 0.000006 0.889998
0.903621 -0.114645 0.000007 0.767963
