# mean(lg_P), var(lg_P), mode(P)
4.048419 0.000000 11179.409939
4.027201 0.000000 10646.349927
3.996742 0.000000 9925.253005
3.961985 0.000000 9161.883910
3.925903 0.000000 8431.462826
3.868630 0.000000 7389.749908
3.832248 0.000000 6795.907929
3.791981 0.000000 6194.133143
3.749702 0.000000 5619.558803
3.719656 0.000000 5243.920895
3.688114 0.000000 4876.565431
3.651859 0.000000 4485.991742
3.600155 0.000000 3982.495798
3.556328 0.000000 3600.212594
3.488308 0.000000 3078.274600
3.423335 0.000000 2650.543125
3.348081 0.000000 2228.846235
3.297480 0.000000 1983.714345
3.256468 0.000000 1804.959806
3.196571 0.000000 1572.425399
3.131117 0.000000 1352.436172
3.063380 0.000000 1157.122881
3.002090 0.000000 1004.821269
2.943748 0.000001 878.510279
2.888544 0.000029 773.531302
2.819717 0.000000 660.261704
2.755676 0.000000 569.738478
2.697778 0.000001 498.626872
2.636229 0.000001 432.740822
2.578749 0.000000 379.095033
2.521348 0.000000 332.159998
2.466084 0.000000 292.470992
2.411442 0.000002 257.891419
2.355609 0.000001 226.781043
2.302560 0.000002 200.703678
2.251255 0.000003 178.339962
2.202835 0.000004 159.523986
2.152698 0.000002 142.132140
2.106752 0.000003 127.862784
2.061353 0.000005 115.170678
2.017508 0.000004 104.111221
1.973033 0.000013 93.973107
1.930167 0.000006 85.143782
1.884325 0.000016 76.610399
1.842078 0.000019 69.507831
1.799221 0.000012 62.978680
1.753466 0.000006 56.682816
1.704679 0.000011 50.658652
1.660661 0.000012 45.775648
1.610297 0.000009 40.763888
1.559661 0.000021 36.275453
1.507496 0.000014 32.170923
1.451198 0.000012 28.259801
1.389005 0.000008 24.489914
1.332381 0.000009 21.496137
1.268195 0.000010 18.542684
1.193278 0.000013 15.604447
1.131658 0.000012 13.540318
1.060298 0.000011 11.488726
0.987647 0.000010 9.719034
0.913336 0.000011 8.190526
0.837049 0.000009 6.871118
0.760293 0.000010 5.757984
0.680014 0.000008 4.786247
