# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.040377 0.000000 10974.307382
-1.560025 4.013804 0.000000 10322.936929
-1.520288 3.977411 0.000000 9493.158306
-1.480552 3.936358 0.000000 8636.889062
-1.440816 3.894212 0.000000 7838.117200
-1.401080 3.830875 0.000000 6774.467534
-1.361343 3.790052 0.000000 6166.675707
-1.321607 3.746152 0.000000 5573.802413
-1.281871 3.700236 0.000000 5014.593983
-1.242135 3.667967 0.000000 4655.506344
-1.202399 3.634841 0.000000 4313.607349
-1.162662 3.597018 0.000000 3953.830378
-1.122926 3.542397 0.000000 3486.555246
-1.083190 3.494328 0.000000 3121.246605
-1.043454 3.421385 0.000000 2638.664746
-1.003717 3.351448 0.000000 2246.194755
-0.963981 3.273023 0.000000 1875.089836
-0.924245 3.222337 0.000000 1668.538725
-0.884509 3.180082 0.000000 1513.847020
-0.844773 3.117661 0.000000 1311.176147
-0.805036 3.047505 0.000000 1115.587922
-0.765300 2.976843 0.000000 948.073697
-0.725564 2.913555 0.000001 819.507750
-0.685828 2.853318 0.000000 713.374567
-0.646091 2.789897 0.000011 616.413016
-0.606355 2.723524 0.000000 529.081848
-0.566619 2.657468 0.000000 454.429521
-0.526883 2.595506 0.000000 394.007843
-0.487147 2.531787 0.000001 340.240210
-0.447410 2.471597 0.000000 296.207742
-0.407674 2.410250 0.000000 257.187223
-0.367938 2.352223 0.000000 225.020667
-0.328202 2.292798 0.000001 196.244213
-0.288465 2.233622 0.000001 171.245353
-0.248729 2.178158 0.000000 150.715086
-0.208993 2.123471 0.000000 132.883137
-0.169257 2.071275 0.000002 117.834246
-0.129520 2.019557 0.000001 104.605706
-0.089784 1.969274 0.000001 93.169086
-0.050048 1.921059 0.000003 83.378342
-0.010312 1.873014 0.000002 74.646616
0.029424 1.827381 0.000002 67.201092
0.069161 1.781808 0.000002 60.506777
0.108897 1.736933 0.000005 54.566114
0.148633 1.694163 0.000005 49.448246
0.188369 1.649651 0.000006 44.631142
0.228106 1.606301 0.000006 40.391236
0.267842 1.560240 0.000006 36.326693
0.307578 1.515250 0.000008 32.751538
0.347314 1.468180 0.000009 29.387295
0.387050 1.418523 0.000018 26.210894
0.426787 1.369577 0.000010 23.418292
0.466523 1.315135 0.000007 20.659486
0.506259 1.257667 0.000005 18.099070
0.545995 1.198587 0.000005 15.797037
0.585732 1.136298 0.000006 13.686252
0.625468 1.072630 0.000006 11.819949
0.665204 1.006324 0.000006 10.146349
0.704940 0.939564 0.000007 8.700575
0.744677 0.866887 0.000007 7.359878
0.784413 0.795526 0.000007 6.244672
0.824149 0.720619 0.000008 5.255349
0.863885 0.643300 0.000007 4.398280
0.903621 0.567274 0.000007 3.691967
