# mean(lg_P), var(lg_P), mode(P)
3.586505 0.000000 3859.264499
3.566168 0.000000 3682.709763
3.537718 0.000000 3449.197926
3.505408 0.000000 3201.901547
3.470311 0.000000 2953.317892
3.421536 0.000000 2639.582616
3.384967 0.000000 2426.422349
3.346912 0.000000 2222.860183
3.309082 0.000000 2037.423584
3.281280 0.000000 1911.082015
3.253140 0.000000 1791.181619
3.221174 0.000000 1664.076664
3.177176 0.000000 1503.749838
3.130237 0.000000 1349.698416
3.063335 0.000000 1157.002172
2.995219 0.000000 989.051531
2.922391 0.000000 836.354303
2.874018 0.000000 748.199314
2.836524 0.000000 686.314319
2.780859 0.000000 603.750723
2.708409 0.000000 510.985102
2.632620 0.000000 429.159814
2.572881 0.000000 374.007312
2.517095 0.000000 328.923110
2.445204 0.000004 278.736494
2.376222 0.000001 237.804704
2.312177 0.000001 205.199172
2.240349 0.000000 173.919531
2.174431 0.000000 149.427589
2.106231 0.000001 127.711554
2.037699 0.000001 109.067968
1.971582 0.000001 93.665545
1.903680 0.000001 80.108450
1.833793 0.000001 68.201098
1.767791 0.000000 58.585622
1.702842 0.000000 50.447740
1.639783 0.000001 43.629629
1.575587 0.000000 37.634502
1.511352 0.000001 32.460111
1.451792 0.000001 28.300254
1.390953 0.000000 24.600976
1.332721 0.000000 21.513935
1.274148 0.000001 18.799506
1.219060 0.000000 16.559939
1.164199 0.000000 14.594815
1.110607 0.000001 12.900462
1.058007 0.000001 11.428919
1.008160 0.000001 10.189627
0.955416 0.000001 9.024286
0.906225 0.000001 8.057914
0.857972 0.000001 7.210582
0.805963 0.000002 6.396739
0.758978 0.000001 5.740837
0.711364 0.000001 5.144708
0.663442 0.000001 4.607219
0.610041 0.000002 4.074147
0.556594 0.000001 3.602389
0.501320 0.000002 3.171865
0.443485 0.000010 2.776275
0.380034 0.000006 2.398939
0.318527 0.000003 2.082187
0.252482 0.000005 1.788429
0.186671 0.000013 1.536886
0.118051 0.000010 1.312282
