# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.104560 0.000000 12722.125822
-1.560025 4.082245 0.000000 12084.949711
-1.520288 4.050196 0.000000 11225.235712
-1.480552 4.013435 0.000000 10314.175069
-1.440816 3.975885 0.000000 9459.869460
-1.401080 3.916609 0.000000 8252.951864
-1.361343 3.881905 0.000000 7619.128717
-1.321607 3.844658 0.000000 6992.911061
-1.281871 3.807658 0.000000 6421.821642
-1.242135 3.784428 0.000000 6087.345525
-1.202399 3.759096 0.000000 5742.425908
-1.162662 3.726773 0.000000 5330.558611
-1.122926 3.673291 0.000000 4712.928638
-1.083190 3.623948 0.000000 4206.760532
-1.043454 3.549242 0.000000 3541.948555
-1.003717 3.483960 0.000000 3047.614373
-0.963981 3.416907 0.000000 2611.601707
-0.924245 3.380379 0.000000 2400.928407
-0.884509 3.344476 0.000000 2210.425116
-0.844773 3.277159 0.000000 1893.032579
-0.805036 3.205215 0.000000 1604.038955
-0.765300 3.146131 0.000000 1400.006667
-0.725564 3.096067 0.000000 1247.573987
-0.685828 3.035870 0.000000 1086.098668
-0.646091 2.973480 0.000000 940.760444
-0.606355 2.918335 0.000000 828.580992
-0.566619 2.857145 0.000000 719.688006
-0.526883 2.801405 0.000000 633.001750
-0.487147 2.744503 0.000000 555.267832
-0.447410 2.690622 0.000000 490.479927
-0.407674 2.637271 0.000000 433.781532
-0.367938 2.585843 0.000000 385.338567
-0.328202 2.533490 0.000000 341.577444
-0.288465 2.482954 0.000000 304.055828
-0.248729 2.433802 0.000000 271.519692
-0.208993 2.386448 0.000000 243.470835
-0.169257 2.340771 0.000000 219.164682
-0.129520 2.296017 0.000001 197.703919
-0.089784 2.251363 0.000001 178.386046
-0.050048 2.208724 0.000001 161.704616
-0.010312 2.166414 0.000001 146.693910
0.029424 2.125077 0.000001 133.375333
0.069161 2.082641 0.000001 120.959329
0.108897 2.039751 0.000001 109.584369
0.148633 1.996773 0.000001 99.258905
0.188369 1.953057 0.000002 89.753739
0.228106 1.906900 0.000002 80.704188
0.267842 1.858741 0.000002 72.233063
0.307578 1.809440 0.000004 64.480764
0.347314 1.755714 0.000002 56.978330
0.387050 1.700282 0.000002 50.150860
0.426787 1.642580 0.000004 43.910811
0.466523 1.581084 0.000002 38.113454
0.506259 1.516653 0.000002 32.858559
0.545995 1.450147 0.000002 28.193029
0.585732 1.381485 0.000004 24.069986
0.625468 1.311977 0.000001 20.510359
0.665204 1.239708 0.000001 17.366183
0.704940 1.165662 0.000001 14.643962
0.744677 1.090303 0.000001 12.311183
0.784413 1.013704 0.000002 10.320467
0.824149 0.935644 0.000003 8.622566
0.863885 0.858735 0.000027 7.222248
0.903621 0.780057 0.000032 6.025348
