# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.270497 0.000000 18642.178831
-1.560025 4.246595 0.000000 17643.927130
-1.520288 4.211628 0.000000 16279.023194
-1.480552 4.172004 0.000000 14859.502917
-1.440816 4.132716 0.000000 13574.260739
-1.401080 4.068478 0.000000 11707.860105
-1.361343 4.035495 0.000000 10851.621510
-1.321607 3.999269 0.000000 9983.177720
-1.281871 3.963271 0.000000 9189.049264
-1.242135 3.940846 0.000000 8726.618224
-1.202399 3.914024 0.000000 8203.968404
-1.162662 3.876542 0.000000 7525.615749
-1.122926 3.812882 0.000000 6499.528095
-1.083190 3.757580 0.000000 5722.421605
-1.043454 3.678330 0.000000 4767.926863
-1.003717 3.617741 0.000000 4147.064522
-0.963981 3.557312 0.000000 3608.374617
-0.924245 3.523127 0.000000 3335.238311
-0.884509 3.479250 0.000000 3014.742329
-0.844773 3.400892 0.000000 2517.049619
-0.805036 3.332065 0.000000 2148.152443
-0.765300 3.282076 0.000000 1914.587952
-0.725564 3.230049 0.000000 1698.432975
-0.685828 3.164233 0.000000 1459.597600
-0.646091 3.106968 0.000000 1279.285782
-0.606355 3.055182 0.000000 1135.485893
-0.566619 2.991925 0.000000 981.577580
-0.526883 2.943123 0.000000 877.248211
-0.487147 2.885224 0.000000 767.756621
-0.447410 2.835428 0.000000 684.585512
-0.407674 2.785421 0.000000 610.127743
-0.367938 2.737287 0.000000 546.117904
-0.328202 2.689675 0.000001 489.410721
-0.288465 2.644159 0.000001 440.714680
-0.248729 2.599117 0.000002 397.294438
-0.208993 2.556192 0.000002 359.903792
-0.169257 2.513550 0.000001 326.247482
-0.129520 2.472922 0.000004 297.107066
-0.089784 2.433296 0.000002 271.201321
-0.050048 2.393388 0.000003 247.389969
-0.010312 2.352883 0.000002 225.360007
0.029424 2.314303 0.000004 206.202285
0.069161 2.271972 0.000005 187.050921
0.108897 2.232915 0.000006 170.962944
0.148633 2.188708 0.000007 154.415863
0.188369 2.144844 0.000010 139.579424
0.228106 2.096082 0.000010 124.755282
0.267842 2.047124 0.000012 111.453869
0.307578 1.999653 0.000020 99.909677
0.347314 1.950680 0.000024 89.253481
0.387050 1.893288 0.000026 78.203779
0.426787 1.836752 0.000028 68.657554
0.466523 1.779513 0.000041 60.175409
0.506259 1.714268 0.000047 51.779736
0.545995 1.654769 0.000050 45.149523
0.585732 1.583687 0.000068 38.329324
0.625468 1.517053 0.000089 32.873631
0.665204 1.452098 0.000103 28.304864
0.704940 1.376224 0.000105 23.767380
0.744677 1.302597 0.000198 20.051173
0.784413 1.236526 0.000182 17.222950
0.824149 1.164948 0.000287 14.597799
0.863885 1.078757 0.000468 11.958574
0.903621 1.010125 0.000260 10.221762
