# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 3.160442 0.000002 1446.900005
-0.574489 3.098833 0.000001 1255.537680
-0.549218 3.054597 0.000002 1133.948785
-0.523946 3.082917 0.000005 1210.334580
-0.498675 3.042914 0.000001 1103.853556
-0.473403 3.023507 0.000004 1055.598805
-0.448131 2.934979 0.000002 860.943049
-0.422860 2.884419 0.000002 766.328152
-0.397588 2.893624 0.000003 782.738443
-0.372317 2.880013 0.000005 758.579728
-0.347045 2.862447 0.000005 728.510740
-0.321774 2.798012 0.000007 628.053166
-0.296502 2.760072 0.000004 575.521967
-0.271230 2.771765 0.000005 591.227156
-0.245959 2.759702 0.000015 574.998223
-0.220687 2.712377 0.000012 515.644503
-0.195416 2.695281 0.000010 495.745013
-0.170144 2.670791 0.000022 468.534081
-0.144872 2.648683 0.000010 445.306436
-0.119601 2.585965 0.000014 385.419215
-0.094329 2.602574 0.000017 400.438316
-0.069058 2.567536 0.000030 369.374319
-0.043786 2.574326 0.000034 375.186822
-0.018515 2.510592 0.000063 323.927043
0.006757 2.493440 0.000086 311.344818
0.032029 2.460427 0.000095 288.541486
0.057300 2.436971 0.000098 273.366936
0.082572 2.416477 0.000092 260.774811
0.107843 2.394308 0.000062 247.836209
0.133115 2.365950 0.000103 232.119878
0.158386 2.339505 0.000082 218.432393
0.183658 2.317158 0.000105 207.450764
0.208930 2.282010 0.000176 191.251461
0.234201 2.250561 0.000186 177.882775
0.259473 2.215478 0.000185 164.078231
0.284744 2.187803 0.000215 153.925014
0.310016 2.158757 0.000288 143.910774
0.335288 2.122586 0.000424 132.315381
0.360559 2.083958 0.000506 121.002261
0.385831 2.043856 0.000442 110.367090
0.411102 2.005807 0.000469 101.094723
0.436374 1.963422 0.000689 91.587484
0.461645 1.921098 0.000682 83.085985
0.486917 1.883844 0.000823 76.198941
0.512189 1.845657 0.001701 69.460774
0.537460 1.796577 0.000918 62.296637
0.562732 1.759021 0.000797 57.172433
0.588003 1.727322 0.001194 53.036199
0.613275 1.688710 0.001436 48.462178
0.638546 1.628989 0.001655 42.186983
0.663818 1.593456 0.001594 38.885407
0.689090 1.542849 0.001553 34.615648
0.714361 1.482575 0.001215 30.184052
0.739633 1.453207 0.001263 28.203149
0.764904 1.410670 0.001180 25.583047
0.790176 1.359597 0.001167 22.746257
0.815447 1.312260 0.001543 20.356675
0.840719 1.265585 0.001833 18.254249
0.865991 1.220131 0.002002 16.425563
0.891262 1.170794 0.001816 14.676149
0.916534 1.120828 0.002343 13.044632
0.941805 1.068872 0.001884 11.602001
0.967077 1.016867 0.002154 10.277931
0.992349 0.968176 0.002548 9.168704
