# lg_k, mean(lg_P), var(lg_P), mode(P)
-0.599761 2.675132 0.000001 473.294190
-0.574489 2.636377 0.000001 432.887064
-0.549218 2.633102 0.000001 429.634805
-0.523946 2.602273 0.000000 400.195270
-0.498675 2.535304 0.000001 343.006133
-0.473403 2.516116 0.000002 328.178915
-0.448131 2.458557 0.000000 287.445945
-0.422860 2.383462 0.000001 241.801598
-0.397588 2.370989 0.000001 234.955861
-0.372317 2.316412 0.000001 207.209188
-0.347045 2.300098 0.000001 199.569804
-0.321774 2.249326 0.000001 177.551415
-0.296502 2.231621 0.000003 170.456450
-0.271230 2.214733 0.000002 163.956365
-0.245959 2.121739 0.000002 132.352928
-0.220687 2.112377 0.000001 129.531445
-0.195416 2.093423 0.000004 123.997842
-0.170144 2.029091 0.000003 106.926288
-0.144872 1.998946 0.000003 99.755831
-0.119601 1.966069 0.000003 92.483294
-0.094329 1.956465 0.000004 90.459894
-0.069058 1.897958 0.000004 79.058802
-0.043786 1.886961 0.000005 77.081492
-0.018515 1.877195 0.000006 75.366982
0.006757 1.851965 0.000006 71.113423
0.032029 1.802009 0.000011 63.384620
0.057300 1.781380 0.000008 60.445235
0.082572 1.752529 0.000010 56.559436
0.107843 1.738824 0.000014 54.801549
0.133115 1.685325 0.000016 48.449398
0.158386 1.671289 0.000019 46.907933
0.183658 1.652280 0.000027 44.897094
0.208930 1.622335 0.000031 41.904723
0.234201 1.585865 0.000049 38.525879
0.259473 1.558340 0.000069 36.156098
0.284744 1.529798 0.000064 33.857146
0.310016 1.497853 0.000075 31.454385
0.335288 1.472150 0.000045 29.651476
0.360559 1.446170 0.000081 27.924304
0.385831 1.407949 0.000119 25.566730
0.411102 1.382854 0.000142 24.128377
0.436374 1.349221 0.000118 22.333140
0.461645 1.312823 0.000118 20.537723
0.486917 1.272374 0.000052 18.717784
0.512189 1.247629 0.000185 17.668648
0.537460 1.206047 0.000106 16.062152
0.562732 1.172541 0.000123 14.868166
0.588003 1.124139 0.000345 13.284465
0.613275 1.091803 0.000315 12.333239
0.638546 1.045650 0.000226 11.095089
0.663818 1.007518 0.000285 10.159241
0.689090 0.966509 0.000281 9.244028
0.714361 0.920077 0.000288 8.306410
0.739633 0.870605 0.000264 7.413051
0.764904 0.822631 0.000286 6.637003
0.790176 0.770231 0.000445 5.877697
0.815447 0.728038 0.000495 5.332089
0.840719 0.677348 0.000483 4.744981
0.865991 0.631658 0.000446 4.272000
0.891262 0.579965 0.000412 3.793280
0.916534 0.529063 0.000355 3.374788
0.941805 0.476504 0.000378 2.989738
0.967077 0.422703 0.000314 2.642282
0.992349 0.369465 0.000345 2.337065
