# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.227561 0.000000 16887.305646
-1.560025 4.208203 0.000000 16151.112959
-1.520288 4.178914 0.000000 15097.797480
-1.480552 4.145268 0.000000 13972.275197
-1.440816 4.111376 0.000000 12923.353685
-1.401080 4.053493 0.000000 11310.777305
-1.361343 4.023185 0.000000 10548.345702
-1.321607 3.989102 0.000000 9752.192204
-1.281871 3.954433 0.000000 9003.947237
-1.242135 3.931862 0.000000 8547.942127
-1.202399 3.904980 0.000000 8034.888571
-1.162662 3.869575 0.000000 7405.850765
-1.122926 3.810729 0.000000 6467.392386
-1.083190 3.760988 0.000000 5767.507053
-1.043454 3.688095 0.000000 4876.348519
-1.003717 3.629949 0.000000 4265.296018
-0.963981 3.568480 0.000000 3702.368432
-0.924245 3.532301 0.000000 3406.444354
-0.884509 3.490223 0.000000 3091.879860
-0.844773 3.417768 0.000000 2616.784861
-0.805036 3.351616 0.000000 2247.066577
-0.765300 3.300368 0.000000 1996.950877
-0.725564 3.248695 0.000000 1772.941243
-0.685828 3.186468 0.000000 1536.269876
-0.646091 3.129558 0.000000 1347.589143
-0.606355 3.078282 0.000000 1197.517123
-0.566619 3.017046 0.000000 1040.030301
-0.526883 2.968523 0.000000 930.084039
-0.487147 2.912095 0.000000 816.760419
-0.447410 2.862970 0.000000 729.407370
-0.407674 2.814002 0.000000 651.630450
-0.367938 2.766195 0.000000 583.706740
-0.328202 2.718929 0.000000 523.514876
-0.288465 2.673601 0.000000 471.628921
-0.248729 2.628631 0.000000 425.236754
-0.208993 2.585717 0.000000 385.226417
-0.169257 2.543661 0.000000 349.671432
-0.129520 2.503251 0.000000 318.603234
-0.089784 2.462132 0.000000 289.821532
-0.050048 2.422054 0.000001 264.273165
-0.010312 2.381092 0.000001 240.486672
0.029424 2.341361 0.000000 219.462279
0.069161 2.299982 0.000000 199.517242
0.108897 2.257044 0.000001 180.734753
0.148633 2.212325 0.000001 163.050840
0.188369 2.166577 0.000001 146.748872
0.228106 2.118335 0.000001 131.320509
0.267842 2.067222 0.000001 116.740029
0.307578 2.013597 0.000002 103.179388
0.347314 1.957217 0.000002 90.617518
0.387050 1.897907 0.000001 79.050251
0.426787 1.836041 0.000002 68.554783
0.466523 1.771531 0.000001 59.091802
0.506259 1.705422 0.000002 50.747839
0.545995 1.636234 0.000002 43.274199
0.585732 1.566166 0.000002 36.826577
0.625468 1.494086 0.000003 31.194624
0.665204 1.420611 0.000013 26.337976
0.704940 1.346927 0.000017 22.227292
0.744677 1.272035 0.000002 18.708077
0.784413 1.195208 0.000007 15.674472
0.824149 1.118281 0.000025 13.128790
0.863885 1.038085 0.000017 10.915583
0.903621 0.958419 0.000029 9.085555
