# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.374088 0.000000 2366.400378
-1.560025 3.343069 0.000000 2203.274772
-1.520288 3.303940 0.000000 2013.443925
-1.480552 3.260844 0.000000 1823.240386
-1.440816 3.216615 0.000000 1646.701167
-1.401080 3.163546 0.000000 1457.287981
-1.361343 3.124374 0.000000 1331.600956
-1.321607 3.088124 0.000000 1224.964739
-1.281871 3.054856 0.000000 1134.633865
-1.242135 3.030221 0.000000 1072.065199
-1.202399 3.001680 0.000000 1003.874716
-1.162662 2.960002 0.000000 912.015959
-1.122926 2.898137 0.000000 790.928265
-1.083190 2.827203 0.000000 671.742368
-1.043454 2.743761 0.000000 554.319836
-1.003717 2.677221 0.000000 475.577165
-0.963981 2.627451 0.000000 424.083092
-0.924245 2.593413 0.000000 392.114088
-0.884509 2.538402 0.000000 345.463176
-0.844773 2.446658 0.000000 279.677847
-0.805036 2.363074 0.000000 230.713732
-0.765300 2.314126 0.000000 206.122428
-0.725564 2.256919 0.000000 180.683482
-0.685828 2.166685 0.000000 146.786004
-0.646091 2.094443 0.000000 124.291714
-0.606355 2.035252 0.000000 108.455400
-0.566619 1.949019 0.000000 88.923850
-0.526883 1.876724 0.000000 75.287727
-0.487147 1.804548 0.000000 63.759856
-0.447410 1.727462 0.000000 53.390173
-0.407674 1.651292 0.000000 44.801390
-0.367938 1.575487 0.000000 37.625890
-0.328202 1.499933 0.000000 31.617868
-0.288465 1.420422 0.000000 26.328226
-0.248729 1.344627 0.000000 22.111930
-0.208993 1.268967 0.000000 18.576620
-0.169257 1.192423 0.000000 15.574808
-0.129520 1.116580 0.000000 13.079140
-0.089784 1.041444 0.000000 11.001280
-0.050048 0.965862 0.000000 9.244037
-0.010312 0.891840 0.000000 7.795428
0.029424 0.818166 0.000000 6.579087
0.069161 0.745511 0.000000 5.565578
0.108897 0.673265 0.000001 4.712639
0.148633 0.603051 0.000000 4.009133
0.188369 0.533347 0.000000 3.414652
0.228106 0.464814 0.000000 2.916171
0.267842 0.397130 0.000000 2.495336
0.307578 0.331106 0.000000 2.143408
0.347314 0.266615 0.000001 1.847622
0.387050 0.202609 0.000001 1.594437
0.426787 0.141272 0.000001 1.384424
0.466523 0.080014 0.000001 1.202297
0.506259 0.020352 0.000001 1.047973
0.545995 -0.038066 0.000001 0.916077
0.585732 -0.095487 0.000001 0.802620
0.625468 -0.151965 0.000002 0.704744
0.665204 -0.207698 0.000002 0.619866
0.704940 -0.263489 0.000002 0.545139
0.744677 -0.318188 0.000002 0.480626
0.784413 -0.373045 0.000003 0.423592
0.824149 -0.428098 0.000004 0.373159
0.863885 -0.484838 0.000006 0.327452
0.903621 -0.540215 0.000009 0.288247
