# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.307086 0.000000 20280.811438
-1.560025 4.296716 0.000000 19802.302703
-1.520288 4.277298 0.000000 18936.413201
-1.480552 4.253981 0.000000 17946.547402
-1.440816 4.229942 0.000000 16980.146292
-1.401080 4.180144 0.000000 15140.624888
-1.361343 4.157659 0.000000 14376.677678
-1.321607 4.128957 0.000000 13457.282158
-1.281871 4.099838 0.000000 12584.567548
-1.242135 4.081637 0.000000 12068.051846
-1.202399 4.057718 0.000000 11421.368538
-1.162662 4.027825 0.000000 10661.657408
-1.122926 3.975027 0.000000 9441.188747
-1.083190 3.936380 0.000000 8637.327935
-1.043454 3.874155 0.000000 7484.361477
-1.003717 3.824642 0.000000 6677.924256
-0.963981 3.766389 0.000000 5839.672421
-0.924245 3.732331 0.000000 5399.218586
-0.884509 3.695545 0.000000 4960.717178
-0.844773 3.631436 0.000000 4279.919894
-0.805036 3.577056 0.000000 3776.208500
-0.765300 3.531161 0.000000 3397.508653
-0.725564 3.483895 0.000000 3047.157205
-0.685828 3.430681 0.000000 2695.756522
-0.646091 3.382294 0.000000 2411.535597
-0.606355 3.338892 0.000000 2182.184943
-0.566619 3.285864 0.000000 1931.363923
-0.526883 3.247959 0.000000 1769.939440
-0.487147 3.197948 0.000000 1577.422692
-0.447410 3.158086 0.000000 1439.082899
-0.407674 3.117905 0.000000 1311.910723
-0.367938 3.077359 0.000000 1194.972296
-0.328202 3.039096 0.000000 1094.197261
-0.288465 3.002027 0.000000 1004.675790
-0.248729 2.964739 0.000000 922.016064
-0.208993 2.929032 0.000000 849.240342
-0.169257 2.893045 0.000000 781.707921
-0.129520 2.856608 0.000001 718.798459
-0.089784 2.819143 0.000000 659.388943
-0.050048 2.781116 0.000001 604.107863
-0.010312 2.739932 0.000001 549.453291
0.029424 2.698184 0.000001 499.094586
0.069161 2.654130 0.000001 450.950374
0.108897 2.607767 0.000001 405.289191
0.148633 2.558203 0.000001 361.576792
0.188369 2.506372 0.000001 320.900038
0.228106 2.452243 0.000001 283.295662
0.267842 2.394225 0.000002 247.868084
0.307578 2.334112 0.000002 215.827934
0.347314 2.273673 0.000002 187.788345
0.387050 2.208930 0.000002 161.780488
0.426787 2.144427 0.000002 139.451671
0.466523 2.078133 0.000002 119.709599
0.506259 2.010934 0.000002 102.548427
0.545995 1.939891 0.000002 87.073656
0.585732 1.868545 0.000002 73.882162
0.625468 1.796355 0.000003 62.567522
0.665204 1.723657 0.000008 52.922353
0.704940 1.650052 0.000007 44.672048
0.744677 1.575180 0.000006 37.598033
0.784413 1.499321 0.000003 31.572878
0.824149 1.421619 0.000006 26.400091
0.863885 1.343294 0.000013 22.042668
0.903621 1.263515 0.000028 18.342216
