# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.856877 0.000000 7192.455876
-1.560025 3.840882 0.000000 6932.367874
-1.520288 3.816582 0.000000 6555.129828
-1.480552 3.788291 0.000000 6141.728066
-1.440816 3.758012 0.000000 5728.115150
-1.401080 3.710770 0.000000 5137.712977
-1.361343 3.680171 0.000000 4788.184206
-1.321607 3.646784 0.000000 4433.881412
-1.281871 3.612690 0.000000 4099.116924
-1.242135 3.588814 0.000000 3879.843292
-1.202399 3.562221 0.000000 3649.396967
-1.162662 3.529093 0.000000 3381.369288
-1.122926 3.480884 0.000000 3026.103331
-1.083190 3.435194 0.000000 2723.915585
-1.043454 3.369290 0.000000 2340.397406
-1.003717 3.308307 0.000000 2033.795007
-0.963981 3.242928 0.000000 1749.556653
-0.924245 3.200856 0.000000 1588.018232
-0.884509 3.161437 0.000000 1450.230057
-0.844773 3.098207 0.000000 1253.738508
-0.805036 3.029362 0.000000 1069.945347
-0.765300 2.967186 0.000000 927.225985
-0.725564 2.911494 0.000000 815.631074
-0.685828 2.851816 0.000000 710.910937
-0.646091 2.786851 0.000000 612.139347
-0.606355 2.726106 0.000000 532.237446
-0.566619 2.663267 0.000000 460.539488
-0.526883 2.599519 0.000000 397.666421
-0.487147 2.541158 0.000000 347.662693
-0.447410 2.480446 0.000000 302.304927
-0.407674 2.420823 0.000000 263.525271
-0.367938 2.363754 0.000000 231.075338
-0.328202 2.305681 0.000000 202.153175
-0.288465 2.247042 0.000000 176.620524
-0.248729 2.192422 0.000000 155.747400
-0.208993 2.137981 0.000000 137.398043
-0.169257 2.086479 0.000000 122.033214
-0.129520 2.035567 0.000000 108.534203
-0.089784 1.985467 0.000000 96.708703
-0.050048 1.937200 0.000000 86.536499
-0.010312 1.890127 0.000000 77.647257
0.029424 1.843655 0.000000 69.767735
0.069161 1.798038 0.000001 62.811170
0.108897 1.752922 0.000001 56.613664
0.148633 1.709092 0.000001 51.178763
0.188369 1.664165 0.000001 46.148937
0.228106 1.619719 0.000002 41.659577
0.267842 1.573468 0.000001 37.451095
0.307578 1.526468 0.000002 33.609506
0.347314 1.477778 0.000002 30.044984
0.387050 1.426725 0.000003 26.712686
0.426787 1.375887 0.000003 23.761874
0.466523 1.317363 0.000010 20.765334
0.506259 1.262071 0.000003 18.283684
0.545995 1.198962 0.000007 15.810536
0.585732 1.135389 0.000005 13.657652
0.625468 1.068771 0.000004 11.715492
0.665204 0.998989 0.000005 9.976479
0.704940 0.927973 0.000004 8.471550
0.744677 0.853614 0.000003 7.138486
0.784413 0.778258 0.000004 6.001337
0.824149 0.701622 0.000004 5.030507
0.863885 0.622462 0.000005 4.192282
0.903621 0.543051 0.000005 3.491726
