# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.980074 0.000099 9546.575861
-1.560025 3.964624 0.000117 9212.043338
-1.520288 3.939599 0.000299 8687.803015
-1.480552 3.914422 0.000221 8201.861044
-1.440816 3.884819 0.000204 7662.144987
-1.401080 3.834185 0.000186 6819.576846
-1.361343 3.804794 0.000142 6374.802690
-1.321607 3.770190 0.000227 5883.917566
-1.281871 3.730060 0.000129 5367.389651
-1.242135 3.704607 0.000115 5062.234038
-1.202399 3.671963 0.000106 4695.900731
-1.162662 3.640042 0.000101 4363.240346
-1.122926 3.586527 0.000154 3856.318261
-1.083190 3.548864 0.000121 3536.591004
-1.043454 3.486195 0.000164 3060.673315
-1.003717 3.430875 0.000122 2695.218515
-0.963981 3.361978 0.000144 2299.573529
-0.924245 3.310194 0.000116 2041.392837
-0.884509 3.267478 0.000142 1849.914470
-0.844773 3.208712 0.000095 1616.189611
-0.805036 3.158073 0.000121 1438.121006
-0.765300 3.090170 0.000122 1229.955623
-0.725564 3.024698 0.000130 1057.789735
-0.685828 2.968304 0.000186 928.701499
-0.646091 2.916678 0.000142 824.806748
-0.606355 2.851453 0.000114 709.890792
-0.566619 2.791843 0.000126 618.803567
-0.526883 2.734876 0.000148 542.668455
-0.487147 2.676459 0.000137 474.398709
-0.447410 2.624556 0.000181 420.860341
-0.407674 2.565098 0.000154 367.065461
-0.367938 2.510738 0.000222 323.762731
-0.328202 2.454987 0.000295 284.647756
-0.288465 2.400994 0.000196 251.503279
-0.248729 2.343774 0.000704 219.863135
-0.208993 2.299088 0.000333 198.756780
-0.169257 2.251709 0.000383 178.166507
-0.129520 2.199484 0.001236 157.267290
-0.089784 2.153220 0.000715 141.766227
-0.050048 2.108957 0.001210 127.694151
-0.010312 2.062946 0.001334 114.782076
0.029424 2.027281 0.000344 106.288809
0.069161 1.973755 0.001642 93.319915
0.108897 1.926411 0.002331 83.376464
0.148633 1.890009 0.000817 77.290888
0.188369 1.855852 0.000461 71.579650
0.228106 1.790251 0.002213 60.975485
0.267842 1.763492 0.000552 57.839212
0.307578 1.713656 0.000630 51.547181
0.347314 1.659535 0.000691 45.493004
0.387050 1.602529 0.000837 39.865953
0.426787 1.541487 0.000904 34.626199
0.466523 1.491125 0.000954 30.826798
0.506259 1.429461 0.000818 26.765640
0.545995 1.358026 0.000817 22.706171
0.585732 1.287141 0.000832 19.285225
0.625468 1.219778 0.000970 16.502282
0.665204 1.152600 0.001249 14.116377
0.704940 1.074717 0.001151 11.805028
0.744677 0.991970 0.001108 9.759284
0.784413 0.932827 0.001428 8.502361
0.824149 0.852098 0.001681 7.050619
0.863885 0.773558 0.001677 5.884316
0.903621 0.697401 0.002486 4.916737
