# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.718441 0.000112 5226.165962
-1.560025 3.700279 0.000116 5012.000928
-1.520288 3.678559 0.000152 4766.588864
-1.480552 3.654116 0.000138 4506.064593
-1.440816 3.625883 0.000164 4221.867400
-1.401080 3.583291 0.000146 3827.847138
-1.361343 3.554937 0.000132 3586.185193
-1.321607 3.524947 0.000171 3346.207430
-1.281871 3.487681 0.000113 3071.995615
-1.242135 3.464733 0.000085 2914.326772
-1.202399 3.438315 0.000098 2742.145145
-1.162662 3.413764 0.000030 2592.355391
-1.122926 3.362079 0.000118 2300.421638
-1.083190 3.318591 0.000139 2080.992122
-1.043454 3.256772 0.000109 1805.183278
-1.003717 3.199777 0.000137 1582.927208
-0.963981 3.133944 0.000156 1360.143553
-0.924245 3.092073 0.000094 1235.541363
-0.884509 3.054769 0.000120 1133.688442
-0.844773 2.992448 0.000146 982.000607
-0.805036 2.927921 0.000127 846.505688
-0.765300 2.864798 0.000119 732.020837
-0.725564 2.809438 0.000114 644.429839
-0.685828 2.749875 0.000138 561.769559
-0.646091 2.687593 0.000135 486.721917
-0.606355 2.625830 0.000120 422.235126
-0.566619 2.558626 0.000116 361.708065
-0.526883 2.495145 0.000147 312.468550
-0.487147 2.439076 0.000140 274.634200
-0.447410 2.375735 0.000138 237.364604
-0.407674 2.314416 0.000137 206.110308
-0.367938 2.260259 0.000136 181.947105
-0.328202 2.197060 0.000277 157.188872
-0.288465 2.137003 0.000709 136.574777
-0.248729 2.076615 0.000133 119.208698
-0.208993 2.021645 0.000187 105.005970
-0.169257 1.967533 0.000157 92.719363
-0.129520 1.914481 0.000169 82.052423
-0.089784 1.862718 0.000192 72.824242
-0.050048 1.811688 0.000182 64.754400
-0.010312 1.759913 0.000212 57.467784
0.029424 1.711653 0.000339 51.389093
0.069161 1.665845 0.000362 46.239329
0.108897 1.619794 0.000325 41.595524
0.148633 1.575033 0.000709 37.445547
0.188369 1.530029 0.000612 33.776783
0.228106 1.487144 0.000419 30.632362
0.267842 1.443323 0.000456 27.686761
0.307578 1.400557 0.000610 25.069828
0.347314 1.356545 0.000629 22.651480
0.387050 1.310442 0.000673 20.365393
0.426787 1.259394 0.000786 18.096048
0.466523 1.214637 0.000699 16.331587
0.506259 1.144141 0.002595 13.745664
0.545995 1.093129 0.000812 12.338412
0.585732 1.031561 0.000659 10.716290
0.625468 0.963287 0.000661 9.157247
0.665204 0.909506 0.001036 8.074574
0.704940 0.866012 0.000420 7.329019
0.744677 0.790085 0.000495 6.151004
0.784413 0.721020 0.001163 5.228068
0.824149 0.653976 0.001246 4.478223
0.863885 0.586366 0.001888 3.819610
0.903621 0.523717 0.002042 3.303815
