# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.100400 0.000094 12594.557603
-1.560025 4.095551 0.000089 12455.085613
-1.520288 4.082630 0.000255 12079.297990
-1.480552 4.068053 0.000175 11685.580632
-1.440816 4.049260 0.000207 11188.824500
-1.401080 4.001281 0.000146 10021.780235
-1.361343 3.980741 0.000133 9559.491425
-1.321607 3.959630 0.000225 9101.479390
-1.281871 3.930540 0.000240 8511.154574
-1.242135 3.911984 0.000097 8161.310475
-1.202399 3.888180 0.000086 7726.481660
-1.162662 3.861210 0.000091 7261.069241
-1.122926 3.818097 0.000108 6574.280809
-1.083190 3.781565 0.000110 6043.835925
-1.043454 3.724871 0.000117 5303.970986
-1.003717 3.667815 0.000146 4650.279436
-0.963981 3.612856 0.000133 4097.787078
-0.924245 3.575283 0.000082 3759.183741
-0.884509 3.539228 0.000107 3459.252674
-0.844773 3.479104 0.000112 3011.942664
-0.805036 3.414204 0.000127 2593.654139
-0.765300 3.370793 0.000105 2347.205466
-0.725564 3.325577 0.000115 2115.002511
-0.685828 3.263169 0.000140 1831.668047
-0.646091 3.202543 0.000161 1592.844926
-0.606355 3.163022 0.000108 1454.699763
-0.566619 3.104255 0.000139 1270.382690
-0.526883 3.053011 0.000278 1128.158258
-0.487147 3.008389 0.000155 1018.666335
-0.447410 2.955270 0.000208 901.136928
-0.407674 2.920922 0.000166 832.800154
-0.367938 2.866519 0.000150 734.808658
-0.328202 2.829082 0.000277 673.666197
-0.288465 2.783574 0.000234 606.785358
-0.248729 2.743679 0.000990 551.315290
-0.208993 2.704933 0.000395 505.853059
-0.169257 2.658984 0.001935 451.365845
-0.129520 2.622157 0.001755 415.064241
-0.089784 2.579299 0.000796 377.978743
-0.050048 2.554837 0.000957 356.970549
-0.010312 2.502332 0.001219 315.882672
0.029424 2.465701 0.001432 290.004346
0.069161 2.425885 0.002205 263.516118
0.108897 2.387835 0.002126 241.512702
0.148633 2.338840 0.001550 216.406885
0.188369 2.281181 0.000473 190.586239
0.228106 2.243454 0.001187 174.068736
0.267842 2.190619 0.000652 154.567197
0.307578 2.137011 0.000778 136.527076
0.347314 2.072923 0.000794 117.786313
0.387050 2.014537 0.000806 102.962774
0.426787 1.955478 0.000854 89.848662
0.466523 1.867540 0.000822 73.391662
0.506259 1.805897 0.000811 63.683772
0.545995 1.736521 0.000879 54.262234
0.585732 1.680066 0.000874 47.648947
0.625468 1.611197 0.001018 40.630678
0.665204 1.536370 0.001253 34.157396
0.704940 1.462016 0.001163 28.796371
0.744677 1.400204 0.001296 24.958545
0.784413 1.320299 0.001428 20.749642
0.824149 1.241238 0.001754 17.266273
0.863885 1.168908 0.001871 14.608319
0.903621 1.103837 0.002608 12.526554
