# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.283657 0.000256 19189.652340
-1.560025 4.248112 0.000151 17691.524306
-1.520288 4.203325 0.000403 15936.703579
-1.480552 4.152492 0.000118 14197.777768
-1.440816 4.098979 0.000131 12550.959552
-1.401080 4.020808 0.000152 10482.309933
-1.361343 3.979941 0.000146 9541.247559
-1.321607 3.935296 0.000251 8604.370357
-1.281871 3.892920 0.000192 7806.873489
-1.242135 3.862055 0.000125 7273.875770
-1.202399 3.830161 0.000110 6759.389130
-1.162662 3.790268 0.000108 6166.240374
-1.122926 3.717156 0.000202 5208.225528
-1.083190 3.653625 0.000151 4500.669662
-1.043454 3.568684 0.000156 3701.041573
-1.003717 3.498086 0.000146 3145.926268
-0.963981 3.432978 0.000129 2708.192373
-0.924245 3.399040 0.000101 2504.995389
-0.884509 3.346594 0.000134 2219.653841
-0.844773 3.264093 0.000114 1835.823037
-0.805036 3.189722 0.000132 1546.743995
-0.765300 3.132992 0.000159 1357.145439
-0.725564 3.076075 0.000150 1190.501043
-0.685828 3.013345 0.000167 1030.293722
-0.646091 2.943109 0.000178 876.392375
-0.606355 2.883609 0.000150 764.300770
-0.566619 2.814877 0.000152 652.418400
-0.526883 2.756374 0.000142 570.227442
-0.487147 2.694562 0.000184 494.467448
-0.447410 2.638951 0.000192 435.018827
-0.407674 2.590881 0.000165 389.494653
-0.367938 2.526301 0.000204 335.607850
-0.328202 2.470078 0.000188 294.879996
-0.288465 2.416544 0.000246 260.602307
-0.248729 2.363593 0.000183 230.765800
-0.208993 2.318585 0.000211 208.017188
-0.169257 2.266529 0.000207 184.524122
-0.129520 2.226875 0.000235 168.396296
-0.089784 2.179657 0.000239 151.044869
-0.050048 2.136507 0.000236 136.761383
-0.010312 2.092105 0.000358 123.390095
0.029424 2.049267 0.000316 111.824963
0.069161 2.007733 0.000379 101.592290
0.108897 1.966302 0.000367 92.354209
0.148633 1.925426 0.000458 84.017956
0.188369 1.883683 0.000396 76.343176
0.228106 1.842578 0.000480 69.418158
0.267842 1.795445 0.000507 62.269972
0.307578 1.748374 0.000604 55.844919
0.347314 1.691621 0.001109 48.872754
0.387050 1.649371 0.000677 44.443829
0.426787 1.607284 0.001296 40.206881
0.466523 1.553541 0.001360 35.514890
0.506259 1.500729 0.001389 31.443535
0.545995 1.439064 0.001496 27.265898
0.585732 1.386837 0.001395 24.189338
0.625468 1.320348 0.001667 20.725718
0.665204 1.245969 0.002413 17.394480
0.704940 1.189846 0.001983 15.320739
0.744677 1.119658 0.002225 13.017695
0.784413 1.034392 0.002653 10.672907
0.824149 0.959145 0.002769 8.969526
0.863885 0.886089 0.003239 7.561879
0.903621 0.811930 0.002840 6.388377
