# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.200028 0.000000 15849.930283
-1.560025 4.179109 0.000000 15104.598728
-1.520288 4.147958 0.000000 14059.124898
-1.480552 4.112259 0.000000 12949.666130
-1.440816 4.075828 0.000000 11907.699448
-1.401080 4.014670 0.000000 10343.558156
-1.361343 3.979307 0.000000 9534.700051
-1.321607 3.938667 0.000000 8682.932722
-1.281871 3.895093 0.000000 7854.028164
-1.242135 3.864868 0.000000 7326.014222
-1.202399 3.832469 0.000000 6799.372875
-1.162662 3.796510 0.000000 6259.061880
-1.122926 3.742410 0.000000 5525.976811
-1.083190 3.700664 0.000000 5019.532668
-1.043454 3.633276 0.000000 4298.085455
-1.003717 3.570700 0.000000 3721.341046
-0.963981 3.495403 0.000000 3128.971978
-0.924245 3.445942 0.000000 2792.163981
-0.884509 3.404307 0.000000 2536.920475
-0.844773 3.343927 0.000000 2207.631332
-0.805036 3.281901 0.000000 1913.816371
-0.765300 3.219010 0.000000 1655.804013
-0.725564 3.158405 0.000001 1440.132670
-0.685828 3.101560 0.000000 1263.454518
-0.646091 3.044060 0.000015 1106.688681
-0.606355 2.986470 0.000001 969.323168
-0.566619 2.924944 0.000001 841.283136
-0.526883 2.872525 0.000001 745.626801
-0.487147 2.814121 0.000001 651.806720
-0.447410 2.762913 0.000001 579.310315
-0.407674 2.710495 0.000001 513.444348
-0.367938 2.660331 0.000001 457.434811
-0.328202 2.609051 0.000005 406.481047
-0.288465 2.561501 0.000002 364.331513
-0.248729 2.513986 0.000004 326.569679
-0.208993 2.468625 0.000007 294.176722
-0.169257 2.424097 0.000002 265.517269
-0.129520 2.383933 0.000007 242.056830
-0.089784 2.339240 0.000011 218.381205
-0.050048 2.299257 0.000008 199.176839
-0.010312 2.258246 0.000007 181.229658
0.029424 2.220150 0.000011 166.006150
0.069161 2.178196 0.000008 150.722345
0.108897 2.138710 0.000016 137.617657
0.148633 2.095877 0.000016 124.692180
0.188369 2.051351 0.000013 112.543985
0.228106 2.002457 0.000005 100.564482
0.267842 1.957385 0.000012 90.648055
0.307578 1.903280 0.000009 80.031032
0.347314 1.851390 0.000010 71.017893
0.387050 1.795865 0.000014 62.493117
0.426787 1.734240 0.000014 54.226091
0.466523 1.675044 0.000011 47.317152
0.506259 1.613150 0.000008 41.032759
0.545995 1.546716 0.000008 35.212528
0.585732 1.479118 0.000011 30.136469
0.625468 1.410580 0.000012 25.736754
0.665204 1.338429 0.000012 21.797284
0.704940 1.262372 0.000015 18.295196
0.744677 1.190315 0.000009 15.498655
0.784413 1.113355 0.000012 12.981565
0.824149 1.037009 0.000012 10.888811
0.863885 0.960148 0.000010 9.122722
0.903621 0.880076 0.000009 7.586734
