# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.291934 0.000000 19585.487527
-1.560025 4.271070 0.000000 18666.810729
-1.520288 4.240029 0.000000 17379.175596
-1.480552 4.204191 0.000000 16002.628023
-1.440816 4.168099 0.000000 14726.479153
-1.401080 4.105012 0.000000 12735.388571
-1.361343 4.070606 0.000000 11765.361124
-1.321607 4.030037 0.000000 10716.090509
-1.281871 3.986454 0.000000 9692.899537
-1.242135 3.956324 0.000000 9043.241449
-1.202399 3.924237 0.000000 8399.180577
-1.162662 3.888607 0.000000 7737.613805
-1.122926 3.833246 0.000000 6811.540877
-1.083190 3.792753 0.000000 6205.149655
-1.043454 3.725253 0.000000 5311.934001
-1.003717 3.664523 0.000000 4618.729771
-0.963981 3.590211 0.000000 3892.337179
-0.924245 3.541853 0.000000 3482.193809
-0.884509 3.500402 0.000000 3165.203404
-0.844773 3.439792 0.000000 2752.907744
-0.805036 3.380003 0.000000 2398.845624
-0.765300 3.320036 0.000000 2089.463954
-0.725564 3.261867 0.000001 1827.533205
-0.685828 3.205665 0.000000 1605.698351
-0.646091 3.149916 0.000014 1412.161802
-0.606355 3.096432 0.000001 1248.618587
-0.566619 3.037409 0.000000 1089.953319
-0.526883 2.990382 0.000002 978.088031
-0.487147 2.933157 0.000001 857.344099
-0.447410 2.885016 0.000001 767.385206
-0.407674 2.836585 0.000001 686.408063
-0.367938 2.789396 0.000000 615.736940
-0.328202 2.742595 0.000006 552.814961
-0.288465 2.699127 0.000001 500.177910
-0.248729 2.655273 0.000006 452.125732
-0.208993 2.614062 0.000010 411.187180
-0.169257 2.574197 0.000015 375.113847
-0.129520 2.534068 0.000004 342.026561
-0.089784 2.495984 0.000022 313.280819
-0.050048 2.458319 0.000026 287.249174
-0.010312 2.413843 0.000005 259.316366
0.029424 2.378618 0.000030 239.083638
0.069161 2.337960 0.000031 217.714764
0.108897 2.297382 0.000030 198.295438
0.148633 2.252914 0.000044 178.983512
0.188369 2.209299 0.000028 161.895274
0.228106 2.159878 0.000006 144.498562
0.267842 2.112368 0.000023 129.513065
0.307578 2.060353 0.000016 114.899148
0.347314 2.006091 0.000017 101.403437
0.387050 1.950924 0.000030 89.300530
0.426787 1.890956 0.000009 77.792106
0.466523 1.831348 0.000028 67.808410
0.506259 1.765561 0.000018 58.280150
0.545995 1.698524 0.000020 49.943356
0.585732 1.633840 0.000012 43.033957
0.625468 1.564992 0.000017 36.724370
0.665204 1.493298 0.000014 31.136191
0.704940 1.421330 0.000015 26.381313
0.744677 1.346201 0.000016 22.190362
0.784413 1.272768 0.000014 18.738545
0.824149 1.197720 0.000012 15.764997
0.863885 1.119977 0.000016 13.180740
0.903621 1.042515 0.000016 11.027551
