# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 3.893386 0.000077 7820.036659
-1.560025 3.854096 0.000183 7139.617361
-1.520288 3.821464 0.000094 6625.943215
-1.480552 3.775069 0.000120 5953.770320
-1.440816 3.727110 0.000155 5330.325842
-1.401080 3.661871 0.000113 4587.878703
-1.361343 3.616912 0.000093 4137.112001
-1.321607 3.571248 0.000140 3723.268149
-1.281871 3.528103 0.000241 3369.373825
-1.242135 3.498893 0.000069 3153.074790
-1.202399 3.468479 0.000132 2938.833094
-1.162662 3.430108 0.000082 2691.038355
-1.122926 3.371572 0.000101 2351.474723
-1.083190 3.311836 0.000130 2048.978466
-1.043454 3.227447 0.000114 1687.269579
-1.003717 3.149141 0.000112 1408.907451
-0.963981 3.074033 0.000116 1185.129248
-0.924245 3.035695 0.000080 1085.204511
-0.884509 2.997544 0.000132 993.664771
-0.844773 2.921476 0.000091 834.194279
-0.805036 2.827885 0.000116 672.384328
-0.765300 2.761723 0.000134 577.316729
-0.725564 2.708349 0.000097 510.652650
-0.685828 2.639573 0.000109 435.833664
-0.646091 2.558516 0.000130 361.589776
-0.606355 2.498413 0.000123 314.869100
-0.566619 2.425716 0.000146 266.304998
-0.526883 2.350816 0.000157 224.106146
-0.487147 2.286849 0.000137 193.434584
-0.447410 2.218408 0.000166 165.205658
-0.407674 2.152696 0.000167 142.007913
-0.367938 2.086351 0.000191 121.873883
-0.328202 2.017825 0.000146 104.109112
-0.288465 1.952503 0.000156 89.566151
-0.248729 1.881945 0.000152 76.136713
-0.208993 1.820502 0.000182 66.081854
-0.169257 1.760202 0.000215 57.505247
-0.129520 1.697152 0.000222 49.732545
-0.089784 1.639552 0.000234 43.552540
-0.050048 1.578760 0.000674 37.775341
-0.010312 1.524329 0.000310 33.389813
0.029424 1.471032 0.000333 29.530106
0.069161 1.416945 0.000392 26.064098
0.108897 1.363233 0.000453 23.024529
0.148633 1.313541 0.000429 20.537756
0.188369 1.262261 0.000522 18.241459
0.228106 1.203413 0.000595 15.923634
0.267842 1.148548 0.000602 14.033369
0.307578 1.117805 0.000870 13.055787
0.347314 1.081212 0.000650 12.014737
0.387050 1.029909 0.001135 10.648641
0.426787 1.000569 0.000715 9.975214
0.466523 0.949380 0.000734 8.865236
0.506259 0.892628 0.000908 7.772057
0.545995 0.846529 0.001183 6.979182
0.585732 0.797458 0.001189 6.233337
0.625468 0.749586 0.001521 5.572927
0.665204 0.668787 0.001868 4.618327
0.704940 0.593953 0.002467 3.875010
0.744677 0.540180 0.002956 3.414873
0.784413 0.520448 0.002365 3.273431
0.824149 0.459930 0.002909 2.839434
0.863885 0.403330 0.003243 2.488076
0.903621 0.338121 0.002735 2.146960
