# lg_k, mean(lg_P), var(lg_P), mode(P)
-1.599761 4.298608 0.000053 19883.206932
-1.560025 4.262251 0.000098 18282.043780
-1.520288 4.212094 0.000116 16286.461204
-1.480552 4.153623 0.000142 14233.000330
-1.440816 4.095377 0.000200 12442.738908
-1.401080 4.011377 0.000156 10256.924333
-1.361343 3.960780 0.000169 9128.339776
-1.321607 3.918174 0.000157 8275.854470
-1.281871 3.874307 0.000296 7475.230035
-1.242135 3.841924 0.000095 6945.542756
-1.202399 3.813085 0.000118 6498.480063
-1.162662 3.766939 0.000096 5844.116016
-1.122926 3.693962 0.000099 4940.075074
-1.083190 3.629561 0.000102 4259.190505
-1.043454 3.533504 0.000103 3414.028574
-1.003717 3.458354 0.000066 2872.117615
-0.963981 3.388129 0.000106 2442.783954
-0.924245 3.355923 0.000084 2268.444699
-0.884509 3.304827 0.000113 2016.357140
-0.844773 3.221959 0.000090 1666.295189
-0.805036 3.137607 0.000160 1371.631474
-0.765300 3.077305 0.000182 1193.675816
-0.725564 3.028319 0.000121 1066.698162
-0.685828 2.958725 0.000124 908.736854
-0.646091 2.884753 0.000115 766.458286
-0.606355 2.827825 0.000083 672.409275
-0.566619 2.761095 0.000093 576.608099
-0.526883 2.703468 0.000156 504.786892
-0.487147 2.638824 0.000106 435.090186
-0.447410 2.586233 0.000129 385.421876
-0.407674 2.521554 0.000135 332.079516
-0.367938 2.469700 0.000161 294.666286
-0.328202 2.408903 0.000131 256.212840
-0.288465 2.355807 0.000127 226.732880
-0.248729 2.300200 0.000147 199.462582
-0.208993 2.252568 0.000155 178.735295
-0.169257 2.202325 0.000165 159.200704
-0.129520 2.156794 0.000149 143.367878
-0.089784 2.108820 0.000160 128.366494
-0.050048 2.074558 0.000193 118.607807
-0.010312 2.023459 0.000209 105.433172
0.029424 1.982302 0.000244 95.882677
0.069161 1.944139 0.000285 87.797764
0.108897 1.897075 0.000285 78.780674
0.148633 1.854563 0.000343 71.412331
0.188369 1.813586 0.000330 64.986861
0.228106 1.770315 0.000367 58.812661
0.267842 1.726462 0.000419 53.149171
0.307578 1.678913 0.000461 47.626735
0.347314 1.625102 0.000524 42.062511
0.387050 1.580203 0.000539 37.928168
0.426787 1.523902 0.000632 33.300222
0.466523 1.468848 0.000519 29.352979
0.506259 1.406292 0.001098 25.337510
0.545995 1.348289 0.001147 22.163955
0.585732 1.288666 0.001244 19.310847
0.625468 1.235623 0.001548 17.063112
0.665204 1.174911 0.002150 14.789743
0.704940 1.084632 0.001665 12.044761
0.744677 1.026843 0.001921 10.529788
0.784413 0.964813 0.002296 9.110175
0.824149 0.888477 0.002443 7.635747
0.863885 0.807931 0.003036 6.323261
0.903621 0.730763 0.002700 5.303291
